Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.0,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.0,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.0,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.0,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.01,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.02,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.03,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.04,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.05,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,10.4,104.0,57.02,-46.98,-41.11,-39.53
0.06,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.06,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,57.02,30.62,26.79,101.48
0.07,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.07,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.07,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.07,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.07,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.08,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.09,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.1,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.11,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
0.12,Five-SeveN,Monkey Business,2.64,26.4,26.61,0.21,0.18,0.68
