Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.0,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.0,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.0,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.0,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.01,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.02,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.03,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.03,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.03,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.03,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
0.03,P250,Valence,0.71,7.1,2.06,-5.04,-4.41,-62.11
