Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.0,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.0,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.0,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.0,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.01,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.02,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.03,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
0.04,Sawed-Off,Origami,0.32,3.2,2.06,-1.14,-1.0,-31.25
