Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.0,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.0,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.0,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.0,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.01,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.02,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.03,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
0.03,CZ75-Auto,Pole Position,2.03,20.3,14.86,-5.44,-4.76,-23.45
