Float,Weapon Name,Skin Name,Single Cost ($),10x Cost ($),Average Profit ($),Net Profit ($),Net Profit After Steam ($),ROI %
0.0,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.0,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.0,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.0,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.0,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.01,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.02,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.03,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.04,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.05,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,14.86,-12.74,-11.15,-40.4
0.06,MAG-7,Heat,2.76,27.6,12.27,-15.33,-13.41,-48.59
0.06,MAG-7,Heat,2.76,27.6,12.27,-15.33,-13.41,-48.59
0.07,MAG-7,Heat,2.76,27.6,12.27,-15.33,-13.41,-48.59
0.07,MAG-7,Heat,2.76,27.6,12.27,-15.33,-13.41,-48.59
0.07,MAG-7,Heat,2.76,27.6,5.74,-21.86,-19.13,-69.31
0.07,MAG-7,Heat,2.76,27.6,5.74,-21.86,-19.13,-69.31
0.07,MAG-7,Heat,2.76,27.6,5.74,-21.86,-19.13,-69.31
0.07,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.07,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.07,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.07,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.07,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.08,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
0.09,MAG-7,Heat,0.82,8.2,3.82,-4.38,-3.83,-46.71
