StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
0,M249,Aztec,Battle-Scarred,Restricted,CS20 Case,0.43,4.3,4.41,0.11,0.1,2.33
0,MP5-SD,Agent,Battle-Scarred,Restricted,CS20 Case,0.43,4.3,4.41,0.11,0.1,2.33
1,Five-SeveN,Buddy,Factory New,Restricted,CS20 Case,3.7,37.0,25.61,-11.39,-9.97,-26.95
1,Five-SeveN,Buddy,Minimal Wear,Restricted,CS20 Case,2.34,23.4,12.92,-10.48,-9.17,-39.19
1,P250,Inferno,Minimal Wear,Restricted,CS20 Case,2.27,22.7,12.92,-9.78,-8.56,-37.71
1,M249,Aztec,Factory New,Restricted,CS20 Case,3.5,35.0,25.61,-9.39,-8.22,-23.49
1,MP5-SD,Agent,Factory New,Restricted,CS20 Case,11.01,110.1,25.61,-84.49,-73.93,-67.15
1,UMP-45,Plastique,Minimal Wear,Restricted,CS20 Case,2.2,22.0,12.92,-9.08,-7.95,-36.14
1,AUG,Death by Puppy,Factory New,Classified,CS20 Case,23.38,233.79999999999998,164.81,-68.99,-60.37,-25.82
1,P250,Inferno,Well-Worn,Restricted,CS20 Case,1.51,15.1,7.13,-7.97,-6.97,-46.16
1,Dual Berettas,Elite 1.6,Factory New,Mil_Spec Grade,CS20 Case,1.3,13.0,5.38,-7.62,-6.67,-51.31
1,Glock-18,Sacrifice,Field-Tested,Mil_Spec Grade,CS20 Case,0.82,8.2,1.11,-7.09,-6.2,-75.61
1,M249,Aztec,Minimal Wear,Restricted,CS20 Case,1.98,19.8,12.92,-6.88,-6.02,-30.4
1,Glock-18,Sacrifice,Factory New,Mil_Spec Grade,CS20 Case,6.91,69.1,5.38,-63.72,-55.75,-80.68
1,MAC-10,Classic Crate,Factory New,Mil_Spec Grade,CS20 Case,1.15,11.5,5.38,-6.12,-5.36,-46.61
0,UMP-45,Plastique,Factory New,Restricted,CS20 Case,1.81,18.1,12.09,-6.01,-5.26,-29.06
1,P90,Nostalgia,Factory New,Classified,CS20 Case,21.8,218.0,164.81,-53.19,-46.54,-21.35
1,UMP-45,Plastique,Well-Worn,Restricted,CS20 Case,1.25,12.5,7.13,-5.37,-4.7,-37.6
1,Five-SeveN,Buddy,Well-Worn,Restricted,CS20 Case,1.25,12.5,7.13,-5.37,-4.7,-37.6
1,Glock-18,Sacrifice,Well-Worn,Mil_Spec Grade,CS20 Case,0.64,6.4,1.17,-5.23,-4.58,-71.56
1,Glock-18,Sacrifice,Battle-Scarred,Mil_Spec Grade,CS20 Case,0.61,6.1,0.93,-5.17,-4.52,-74.1
1,MP5-SD,Agent,Battle-Scarred,Restricted,CS20 Case,1.1,11.0,6.32,-4.68,-4.09,-37.18
1,Tec-9,Flash Out,Factory New,Mil_Spec Grade,CS20 Case,1.0,10.0,5.38,-4.62,-4.04,-40.4
0,P250,Inferno,Factory New,Restricted,CS20 Case,1.63,16.299999999999997,12.09,-4.21,-3.68,-22.58
1,MP5-SD,Agent,Field-Tested,Restricted,CS20 Case,1.21,12.1,8.13,-3.97,-3.47,-28.68
1,P250,Inferno,Battle-Scarred,Restricted,CS20 Case,1.02,10.2,6.32,-3.88,-3.4,-33.33
0,M249,Aztec,Factory New,Restricted,CS20 Case,1.58,15.8,12.09,-3.71,-3.25,-20.57
1,P250,Inferno,Field-Tested,Restricted,CS20 Case,1.18,11.799999999999999,8.13,-3.67,-3.21,-27.2
0,Five-SeveN,Buddy,Factory New,Restricted,CS20 Case,1.57,15.700000000000001,12.09,-3.61,-3.16,-20.13
