StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,MAG-7,Heat,Minimal Wear,Restricted,Chroma 2 Case,2.06,20.6,29.44,8.84,7.73,37.52
0,CZ75-Auto,Pole Position,Minimal Wear,Restricted,Chroma 2 Case,0.77,7.7,12.94,5.24,4.58,59.48
0,MAG-7,Heat,Minimal Wear,Restricted,Chroma 2 Case,0.82,8.2,12.94,4.74,4.15,50.61
1,CZ75-Auto,Pole Position,Minimal Wear,Restricted,Chroma 2 Case,1.58,15.8,29.44,13.64,11.94,75.57
1,FAMAS,Djinn,Well-Worn,Classified,Chroma 2 Case,3.53,35.3,23.95,-11.35,-9.93,-28.13
1,Desert Eagle,Bronze Deco,Well-Worn,Mil_Spec Grade,Chroma 2 Case,1.29,12.9,2.58,-10.32,-9.03,-70.0
0,CZ75-Auto,Pole Position,Factory New,Restricted,Chroma 2 Case,2.03,20.299999999999997,10.07,-10.23,-8.95,-44.09
0,Five-SeveN,Monkey Business,Well-Worn,Classified,Chroma 2 Case,2.17,21.7,11.56,-10.14,-8.87,-40.88
0,FAMAS,Djinn,Field-Tested,Classified,Chroma 2 Case,2.43,24.3,14.4,-9.9,-8.66,-35.64
0,FAMAS,Djinn,Battle-Scarred,Classified,Chroma 2 Case,2.39,23.900000000000002,14.26,-9.64,-8.44,-35.31
0,Five-SeveN,Monkey Business,Minimal Wear,Classified,Chroma 2 Case,10.4,104.0,24.83,-79.17,-69.27,-66.61
1,AK-47,Elite Build,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,7.28,72.8,2.99,-69.81,-61.08,-83.9
1,Galil AR,Eco,Battle-Scarred,Classified,Chroma 2 Case,3.78,37.8,29.89,-7.91,-6.92,-18.31
0,AWP,Worm God,Minimal Wear,Restricted,Chroma 2 Case,2.08,20.8,12.94,-7.86,-6.88,-33.08
1,Desert Eagle,Bronze Deco,Field-Tested,Mil_Spec Grade,Chroma 2 Case,0.92,9.200000000000001,1.7,-7.5,-6.56,-71.3
1,Five-SeveN,Monkey Business,Battle-Scarred,Classified,Chroma 2 Case,3.73,37.3,29.89,-7.41,-6.48,-17.37
1,FAMAS,Djinn,Factory New,Classified,Chroma 2 Case,23.72,237.2,173.07,-64.13,-56.11,-23.66
1,P250,Valence,Well-Worn,Mil_Spec Grade,Chroma 2 Case,0.94,9.399999999999999,2.58,-6.82,-5.97,-63.51
0,Five-SeveN,Monkey Business,Battle-Scarred,Classified,Chroma 2 Case,2.06,20.6,14.26,-6.34,-5.55,-26.94
0,Galil AR,Eco,Battle-Scarred,Classified,Chroma 2 Case,2.06,20.6,14.26,-6.34,-5.55,-26.94
0,Desert Eagle,Bronze Deco,Battle-Scarred,Mil_Spec Grade,Chroma 2 Case,0.67,6.7,0.39,-6.31,-5.52,-82.39
1,P250,Valence,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,0.92,9.200000000000001,2.99,-6.21,-5.43,-59.02
1,AWP,Worm God,Well-Worn,Restricted,Chroma 2 Case,6.14,61.4,4.4,-57.0,-49.88,-81.24
1,AWP,Worm God,Factory New,Restricted,Chroma 2 Case,7.83,78.3,23.72,-54.58,-47.76,-61.0
1,MAG-7,Heat,Factory New,Restricted,Chroma 2 Case,7.56,75.6,23.72,-51.88,-45.4,-60.05
0,AK-47,Elite Build,Factory New,Mil_Spec Grade,Chroma 2 Case,5.37,53.7,2.6,-51.1,-44.71,-83.26
1,Galil AR,Eco,Field-Tested,Classified,Chroma 2 Case,8.25,82.5,31.62,-50.88,-44.52,-53.96
1,AK-47,Elite Build,Field-Tested,Mil_Spec Grade,Chroma 2 Case,5.11,51.1,1.7,-49.4,-43.23,-84.6
1,Galil AR,Eco,Minimal Wear,Classified,Chroma 2 Case,53.8,538.0,58.31,-479.69,-419.73,-78.02
1,MAG-7,Heat,Battle-Scarred,Restricted,Chroma 2 Case,0.83,8.299999999999999,3.6,-4.7,-4.11,-49.52
0,FAMAS,Djinn,Factory New,Classified,Chroma 2 Case,10.07,100.7,57.02,-43.68,-38.22,-37.95
1,AWP,Worm God,Field-Tested,Restricted,Chroma 2 Case,4.56,45.599999999999994,6.11,-39.49,-34.55,-75.77
1,AK-47,Elite Build,Battle-Scarred,Mil_Spec Grade,Chroma 2 Case,3.99,39.900000000000006,0.72,-39.18,-34.28,-85.91
1,AK-47,Elite Build,Well-Worn,Mil_Spec Grade,Chroma 2 Case,4.02,40.199999999999996,2.58,-37.62,-32.92,-81.89
1,Desert Eagle,Bronze Deco,Battle-Scarred,Mil_Spec Grade,Chroma 2 Case,3.6,36.0,0.72,-35.28,-30.87,-85.75
0,P250,Valence,Factory New,Mil_Spec Grade,Chroma 2 Case,0.71,7.1,2.6,-4.5,-3.94,-55.49
0,Desert Eagle,Bronze Deco,Factory New,Mil_Spec Grade,Chroma 2 Case,0.69,6.8999999999999995,2.6,-4.3,-3.76,-54.49
1,MAG-7,Heat,Well-Worn,Restricted,Chroma 2 Case,0.83,8.299999999999999,4.4,-3.9,-3.41,-41.08
0,Galil AR,Eco,Field-Tested,Classified,Chroma 2 Case,4.52,45.199999999999996,14.4,-30.8,-26.95,-59.62
1,Galil AR,Eco,Well-Worn,Classified,Chroma 2 Case,5.12,51.2,23.95,-27.25,-23.84,-46.56
1,FAMAS,Djinn,Minimal Wear,Classified,Chroma 2 Case,8.27,82.69999999999999,58.31,-24.39,-21.34,-25.8
1,AWP,Worm God,Minimal Wear,Restricted,Chroma 2 Case,5.34,53.4,29.44,-23.96,-20.96,-39.25
1,Five-SeveN,Monkey Business,Field-Tested,Classified,Chroma 2 Case,5.51,55.099999999999994,31.62,-23.48,-20.55,-37.3
0,AK-47,Elite Build,Minimal Wear,Mil_Spec Grade,Chroma 2 Case,2.41,24.1,1.22,-22.88,-20.02,-83.07
1,MAG-7,Heat,Field-Tested,Restricted,Chroma 2 Case,0.95,9.5,6.11,-3.39,-2.97,-31.26
1,CZ75-Auto,Pole Position,Well-Worn,Restricted,Chroma 2 Case,0.76,7.6,4.4,-3.2,-2.8,-36.84
1,FAMAS,Djinn,Battle-Scarred,Classified,Chroma 2 Case,3.3,33.0,29.89,-3.11,-2.72,-8.24
1,MP7,Armor Core,Battle-Scarred,Mil_Spec Grade,Chroma 2 Case,0.38,3.8,0.72,-3.08,-2.7,-71.05
1,P250,Valence,Battle-Scarred,Mil_Spec Grade,Chroma 2 Case,0.36,3.5999999999999996,0.72,-2.88,-2.52,-70.0
1,Sawed-Off,Origami,Factory New,Mil_Spec Grade,Chroma 2 Case,0.91,9.1,6.39,-2.71,-2.37,-26.04
