StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,Glock-18,Moonrise,Minimal Wear,Restricted,Clutch Case,1.94,19.4,8.12,-11.28,-9.87,-50.88
1,Glock-18,Moonrise,Well-Worn,Restricted,Clutch Case,1.61,16.1,4.98,-11.12,-9.73,-60.43
1,AUG,Stymphalian,Factory New,Classified,Clutch Case,15.33,153.3,60.61,-92.69,-81.1,-52.9
1,UMP-45,Arctic Wolf,Factory New,Restricted,Clutch Case,2.98,29.8,20.28,-9.52,-8.33,-27.95
0,USP-S,Cortex,Factory New,Classified,Clutch Case,9.97,99.7,23.68,-76.02,-66.52,-66.72
1,USP-S,Cortex,Minimal Wear,Classified,Clutch Case,9.7,97.0,22.19,-74.81,-65.46,-67.48
1,Nova,Wild Six,Factory New,Restricted,Clutch Case,2.77,27.7,20.28,-7.42,-6.49,-23.43
1,Negev,Lionfish,Factory New,Restricted,Clutch Case,2.73,27.3,20.28,-7.02,-6.14,-22.49
1,AWP,Mortis,Well-Worn,Classified,Clutch Case,7.47,74.7,9.08,-65.62,-57.42,-76.87
1,AWP,Mortis,Battle-Scarred,Classified,Clutch Case,6.6,66.0,6.59,-59.41,-51.98,-78.76
0,MAG-7,SWAG-7,Factory New,Restricted,Clutch Case,1.44,14.399999999999999,8.26,-6.14,-5.37,-37.29
1,R8 Revolver,Grip,Factory New,Mil_Spec Grade,Clutch Case,0.89,8.9,3.17,-5.73,-5.01,-56.29
1,AWP,Mortis,Minimal Wear,Classified,Clutch Case,7.93,79.3,22.19,-57.11,-49.97,-63.01
0,AWP,Mortis,Factory New,Classified,Clutch Case,7.46,74.6,23.68,-50.92,-44.55,-59.72
0,AUG,Stymphalian,Factory New,Classified,Clutch Case,7.34,73.4,23.68,-49.72,-43.5,-59.26
1,USP-S,Cortex,Field-Tested,Classified,Clutch Case,5.69,56.900000000000006,9.39,-47.51,-41.57,-73.06
1,P2000,Urban Hazard,Factory New,Mil_Spec Grade,Clutch Case,0.85,8.5,3.17,-5.33,-4.66,-54.82
1,UMP-45,Arctic Wolf,Minimal Wear,Restricted,Clutch Case,1.31,13.100000000000001,8.12,-4.98,-4.36,-33.28
1,MP9,Black Sand,Factory New,Mil_Spec Grade,Clutch Case,0.8,8.0,3.17,-4.83,-4.23,-52.88
0,Glock-18,Moonrise,Factory New,Restricted,Clutch Case,1.29,12.9,8.26,-4.64,-4.06,-31.47
1,MAG-7,SWAG-7,Minimal Wear,Restricted,Clutch Case,1.27,12.7,8.12,-4.58,-4.01,-31.57
1,AUG,Stymphalian,Minimal Wear,Classified,Clutch Case,6.73,67.30000000000001,22.19,-45.11,-39.47,-58.65
1,AWP,Mortis,Field-Tested,Classified,Clutch Case,5.43,54.3,9.39,-44.91,-39.3,-72.38
1,USP-S,Cortex,Well-Worn,Classified,Clutch Case,4.69,46.900000000000006,9.08,-37.82,-33.09,-70.55
1,USP-S,Cortex,Battle-Scarred,Classified,Clutch Case,4.11,41.1,6.59,-34.51,-30.2,-73.48
1,Glock-18,Moonrise,Field-Tested,Restricted,Clutch Case,0.9,9.0,4.64,-4.36,-3.82,-42.44
0,UMP-45,Arctic Wolf,Factory New,Restricted,Clutch Case,1.26,12.6,8.26,-4.34,-3.8,-30.16
1,Nova,Wild Six,Minimal Wear,Restricted,Clutch Case,1.23,12.3,8.12,-4.18,-3.66,-29.76
