StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,UMP-45,Momentum,Factory New,Classified,Danger Zone Case,18.67,186.70000000000002,263.68,76.98,67.36,36.08
1,MP5-SD,Phosphor,Factory New,Classified,Danger Zone Case,20.64,206.4,263.68,57.28,50.12,24.28
1,Desert Eagle,Mecha Industries,Factory New,Classified,Danger Zone Case,22.14,221.4,263.68,42.28,37.0,16.71
0,UMP-45,Momentum,Factory New,Classified,Danger Zone Case,8.48,84.80000000000001,118.06,33.26,29.1,34.32
0,MP5-SD,Phosphor,Factory New,Classified,Danger Zone Case,9.11,91.1,118.06,26.96,23.59,25.89
0,Desert Eagle,Mecha Industries,Factory New,Classified,Danger Zone Case,9.45,94.5,118.06,23.56,20.61,21.81
1,UMP-45,Momentum,Well-Worn,Classified,Danger Zone Case,5.22,52.199999999999996,54.18,1.98,1.73,3.31
1,Sawed-Off,Black Sand,Well-Worn,Mil_Spec Grade,Danger Zone Case,0.12,1.2,1.53,0.33,0.29,24.17
1,MAC-10,Pipe Down,Battle-Scarred,Restricted,Danger Zone Case,0.65,6.5,6.7,0.2,0.18,2.77
1,G3SG1,Scavenger,Battle-Scarred,Restricted,Danger Zone Case,0.66,6.6000000000000005,6.7,0.1,0.09,1.36
1,SG 553,Danger Close,Battle-Scarred,Mil_Spec Grade,Danger Zone Case,0.12,1.2,1.29,0.09,0.08,6.67
1,Sawed-Off,Black Sand,Battle-Scarred,Mil_Spec Grade,Danger Zone Case,0.12,1.2,1.29,0.09,0.08,6.67
0,G3SG1,Scavenger,Well-Worn,Restricted,Danger Zone Case,0.43,4.3,4.34,0.04,0.04,0.93
1,MAC-10,Pipe Down,Well-Worn,Restricted,Danger Zone Case,0.74,7.4,7.44,0.04,0.04,0.54
0,UMP-45,Momentum,Minimal Wear,Classified,Danger Zone Case,5.7,57.0,45.64,-11.36,-9.94,-17.44
1,Galil AR,Signal,Factory New,Restricted,Danger Zone Case,3.08,30.8,20.48,-10.32,-9.03,-29.32
1,G3SG1,Scavenger,Factory New,Restricted,Danger Zone Case,3.06,30.6,20.48,-10.12,-8.85,-28.92
0,UMP-45,Momentum,Battle-Scarred,Classified,Danger Zone Case,3.46,34.6,25.16,-9.44,-8.26,-23.87
0,Tec-9,Fubar,Minimal Wear,Mil_Spec Grade,Danger Zone Case,1.02,10.2,0.8,-9.4,-8.22,-80.59
1,SG 553,Danger Close,Factory New,Mil_Spec Grade,Danger Zone Case,1.22,12.2,3.41,-8.79,-7.69,-63.03
0,MP5-SD,Phosphor,Well-Worn,Classified,Danger Zone Case,3.96,39.6,31.3,-8.3,-7.26,-18.33
1,Galil AR,Signal,Well-Worn,Restricted,Danger Zone Case,1.57,15.700000000000001,7.44,-8.26,-7.23,-46.05
1,UMP-45,Momentum,Battle-Scarred,Classified,Danger Zone Case,5.37,53.7,45.67,-8.03,-7.03,-13.09
0,MP5-SD,Phosphor,Battle-Scarred,Classified,Danger Zone Case,3.27,32.7,25.16,-7.54,-6.6,-20.18
1,M4A4,Magnesium,Field-Tested,Mil_Spec Grade,Danger Zone Case,0.85,8.5,1.2,-7.3,-6.39,-75.18
1,MP5-SD,Phosphor,Battle-Scarred,Classified,Danger Zone Case,5.26,52.599999999999994,45.67,-6.93,-6.06,-11.52
1,M4A4,Magnesium,Factory New,Mil_Spec Grade,Danger Zone Case,7.13,71.3,3.41,-67.89,-59.4,-83.31
1,Desert Eagle,Mecha Industries,Well-Worn,Classified,Danger Zone Case,11.34,113.4,54.18,-59.22,-51.82,-45.7
1,MP9,Modest Threat,Factory New,Mil_Spec Grade,Danger Zone Case,1.02,10.2,3.41,-6.79,-5.94,-58.24
0,UMP-45,Momentum,Well-Worn,Classified,Danger Zone Case,3.76,37.599999999999994,31.3,-6.3,-5.51,-14.65
1,Sawed-Off,Black Sand,Factory New,Mil_Spec Grade,Danger Zone Case,0.94,9.399999999999999,3.41,-5.99,-5.24,-55.74
0,UMP-45,Momentum,Field-Tested,Classified,Danger Zone Case,3.83,38.3,32.43,-5.87,-5.14,-13.42
1,Desert Eagle,Mecha Industries,Minimal Wear,Classified,Danger Zone Case,14.68,146.8,91.67,-55.13,-48.24,-32.86
1,Desert Eagle,Mecha Industries,Field-Tested,Classified,Danger Zone Case,11.12,111.19999999999999,57.8,-53.4,-46.73,-42.02
1,Desert Eagle,Mecha Industries,Battle-Scarred,Classified,Danger Zone Case,9.46,94.60000000000001,45.67,-48.93,-42.81,-45.25
1,P250,Nevermore,Minimal Wear,Restricted,Danger Zone Case,1.78,17.8,12.14,-5.66,-4.95,-27.81
0,MAC-10,Pipe Down,Factory New,Restricted,Danger Zone Case,1.44,14.399999999999999,9.01,-5.39,-4.72,-32.78
1,Galil AR,Signal,Battle-Scarred,Restricted,Danger Zone Case,1.2,12.0,6.7,-5.3,-4.64,-38.67
0,MP5-SD,Phosphor,Field-Tested,Classified,Danger Zone Case,3.75,37.5,32.43,-5.07,-4.44,-11.84
1,Galil AR,Signal,Minimal Wear,Restricted,Danger Zone Case,1.71,17.1,12.14,-4.96,-4.34,-25.38
1,UMP-45,Momentum,Field-Tested,Classified,Danger Zone Case,6.24,62.400000000000006,57.8,-4.6,-4.02,-6.44
0,USP-S,Flashback,Battle-Scarred,Restricted,Danger Zone Case,0.83,8.299999999999999,3.72,-4.58,-4.01,-48.31
0,USP-S,Flashback,Factory New,Restricted,Danger Zone Case,1.3,13.0,9.01,-3.99,-3.49,-26.85
1,M4A4,Magnesium,Well-Worn,Mil_Spec Grade,Danger Zone Case,0.55,5.5,1.53,-3.97,-3.47,-63.09
0,P250,Nevermore,Factory New,Restricted,Danger Zone Case,1.29,12.9,9.01,-3.89,-3.4,-26.36
0,USP-S,Flashback,Well-Worn,Restricted,Danger Zone Case,0.82,8.2,4.34,-3.86,-3.38,-41.22
1,MAC-10,Pipe Down,Minimal Wear,Restricted,Danger Zone Case,1.58,15.8,12.14,-3.66,-3.2,-20.25
1,M4A4,Magnesium,Battle-Scarred,Mil_Spec Grade,Danger Zone Case,0.49,4.9,1.29,-3.61,-3.16,-64.49
0,Galil AR,Signal,Factory New,Restricted,Danger Zone Case,1.26,12.6,9.01,-3.59,-3.14,-24.92
0,P250,Nevermore,Well-Worn,Restricted,Danger Zone Case,0.79,7.9,4.34,-3.56,-3.12,-39.49
1,MP5-SD,Phosphor,Field-Tested,Classified,Danger Zone Case,6.13,61.3,57.8,-3.5,-3.06,-4.99
1,Tec-9,Fubar,Minimal Wear,Mil_Spec Grade,Danger Zone Case,2.67,26.7,1.8,-24.9,-21.79,-81.61
1,Nova,Wood Fired,Factory New,Mil_Spec Grade,Danger Zone Case,0.68,6.800000000000001,3.41,-3.39,-2.97,-43.68
1,P250,Nevermore,Field-Tested,Restricted,Danger Zone Case,1.12,11.200000000000001,7.83,-3.37,-2.95,-26.34
1,G3SG1,Scavenger,Minimal Wear,Restricted,Danger Zone Case,1.55,15.5,12.14,-3.36,-2.94,-18.97
1,MP5-SD,Phosphor,Well-Worn,Classified,Danger Zone Case,5.75,57.5,54.18,-3.32,-2.9,-5.04
1,Galil AR,Signal,Field-Tested,Restricted,Danger Zone Case,1.11,11.100000000000001,7.83,-3.27,-2.86,-25.77
0,G3SG1,Scavenger,Factory New,Restricted,Danger Zone Case,1.22,12.2,9.01,-3.19,-2.79,-22.87
1,MP9,Modest Threat,Well-Worn,Mil_Spec Grade,Danger Zone Case,0.43,4.3,1.53,-2.77,-2.42,-56.28
1,Glock-18,Oxide Blaze,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.44,4.4,1.8,-2.6,-2.27,-51.59
1,Glock-18,Oxide Blaze,Well-Worn,Mil_Spec Grade,Danger Zone Case,0.41,4.1,1.53,-2.57,-2.25,-54.88
0,USP-S,Flashback,Minimal Wear,Restricted,Danger Zone Case,0.84,8.4,5.99,-2.41,-2.11,-25.12
1,MP9,Modest Threat,Minimal Wear,Mil_Spec Grade,Danger Zone Case,0.42,4.2,1.8,-2.4,-2.1,-50.0
0,USP-S,Flashback,Field-Tested,Restricted,Danger Zone Case,0.65,6.5,4.18,-2.32,-2.03,-31.23
0,Glock-18,Oxide Blaze,Factory New,Mil_Spec Grade,Danger Zone Case,0.36,3.5999999999999996,1.3,-2.3,-2.01,-55.83
0,Desert Eagle,Mecha Industries,Well-Worn,Classified,Danger Zone Case,5.29,52.9,31.3,-21.6,-18.9,-35.73
1,USP-S,Flashback,Battle-Scarred,Restricted,Danger Zone Case,2.64,26.400000000000002,6.7,-19.7,-17.24,-65.3
1,MAC-10,Pipe Down,Factory New,Restricted,Danger Zone Case,3.97,39.7,20.48,-19.22,-16.82,-42.37
0,Desert Eagle,Mecha Industries,Minimal Wear,Classified,Danger Zone Case,6.48,64.80000000000001,45.64,-19.16,-16.77,-25.88
0,Desert Eagle,Mecha Industries,Battle-Scarred,Classified,Danger Zone Case,4.43,44.3,25.16,-19.14,-16.75,-37.81
1,MP5-SD,Phosphor,Minimal Wear,Classified,Danger Zone Case,10.97,109.7,91.67,-18.03,-15.78,-14.38
1,USP-S,Flashback,Well-Worn,Restricted,Danger Zone Case,2.47,24.700000000000003,7.44,-17.26,-15.1,-61.13
0,Desert Eagle,Mecha Industries,Field-Tested,Classified,Danger Zone Case,4.96,49.6,32.43,-17.17,-15.02,-30.28
1,UMP-45,Momentum,Minimal Wear,Classified,Danger Zone Case,10.76,107.6,91.67,-15.93,-13.94,-12.96
1,M4A4,Magnesium,Minimal Wear,Mil_Spec Grade,Danger Zone Case,1.75,17.5,1.8,-15.7,-13.74,-78.51
1,USP-S,Flashback,Factory New,Restricted,Danger Zone Case,3.6,36.0,20.48,-15.52,-13.58,-37.72
