StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,Sawed-Off,Spirit Board,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.17,1.7000000000000002,2.3,0.6,0.53,31.18
1,P2000,Lifted Spirits,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.17,1.7000000000000002,2.3,0.6,0.53,31.18
1,MP5-SD,Necro Jr.,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.18,1.7999999999999998,2.3,0.5,0.44,24.44
1,SCAR-20,Poultrygeist,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.2,2.0,2.3,0.3,0.26,13.0
1,Five-SeveN,Scrawl,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.2,2.0,2.3,0.3,0.26,13.0
1,SCAR-20,Poultrygeist,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.2,2.0,2.24,0.24,0.21,10.5
1,P2000,Lifted Spirits,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.2,2.0,2.24,0.24,0.21,10.5
1,Sawed-Off,Spirit Board,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.21,2.1,2.24,0.14,0.12,5.71
1,MAG-7,Foresight,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.21,2.1,2.24,0.14,0.12,5.71
1,MP5-SD,Necro Jr.,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.21,2.1,2.24,0.14,0.12,5.71
1,MAC-10,Ensnared,Battle-Scarred,Mil_Spec Grade,Dreams and Nightmares Case,0.21,2.1,2.24,0.14,0.12,5.71
1,MAG-7,Foresight,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.22,2.2,2.3,0.1,0.09,4.09
1,MAC-10,Ensnared,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.22,2.2,2.3,0.1,0.09,4.09
0,MAC-10,Ensnared,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,P2000,Lifted Spirits,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,MAG-7,Foresight,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,MP5-SD,Necro Jr.,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,Five-SeveN,Scrawl,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,SCAR-20,Poultrygeist,Well-Worn,Mil_Spec Grade,Dreams and Nightmares Case,0.08,0.8,0.89,0.09,0.08,10.0
0,M4A1-S,Night Terror,Minimal Wear,Restricted,Dreams and Nightmares Case,1.58,15.8,4.88,-10.92,-9.55,-60.44
1,FAMAS,Rapid Eye Movement,Battle-Scarred,Classified,Dreams and Nightmares Case,2.51,25.099999999999998,14.29,-10.81,-9.46,-37.69
0,G3SG1,Dream Glade,Factory New,Restricted,Dreams and Nightmares Case,2.12,21.200000000000003,10.53,-10.67,-9.34,-44.06
1,USP-S,Ticket to Hell,Factory New,Restricted,Dreams and Nightmares Case,11.9,119.0,21.35,-97.65,-85.44,-71.8
0,Dual Berettas,Melondrama,Battle-Scarred,Classified,Dreams and Nightmares Case,1.7,17.0,7.13,-9.87,-8.64,-50.82
0,MP7,Abyssal Apparition,Battle-Scarred,Classified,Dreams and Nightmares Case,1.69,16.9,7.13,-9.77,-8.55,-50.59
0,USP-S,Ticket to Hell,Well-Worn,Restricted,Dreams and Nightmares Case,1.15,11.5,1.79,-9.71,-8.5,-73.91
0,M4A1-S,Night Terror,Field-Tested,Restricted,Dreams and Nightmares Case,1.19,11.899999999999999,2.23,-9.67,-8.46,-71.09
0,FAMAS,Rapid Eye Movement,Battle-Scarred,Classified,Dreams and Nightmares Case,1.68,16.8,7.13,-9.67,-8.46,-50.36
1,PP-Bizon,Space Cat,Minimal Wear,Restricted,Dreams and Nightmares Case,1.77,17.7,8.25,-9.45,-8.27,-46.72
0,USP-S,Ticket to Hell,Minimal Wear,Restricted,Dreams and Nightmares Case,1.35,13.5,4.88,-8.62,-7.54,-55.85
1,M4A1-S,Night Terror,Battle-Scarred,Restricted,Dreams and Nightmares Case,7.7,77.0,2.72,-74.28,-65.0,-84.42
1,MP5-SD,Necro Jr.,Factory New,Mil_Spec Grade,Dreams and Nightmares Case,1.34,13.4,6.02,-7.38,-6.46,-48.21
1,M4A1-S,Night Terror,Factory New,Restricted,Dreams and Nightmares Case,8.82,88.2,21.35,-66.85,-58.49,-66.32
0,Dual Berettas,Melondrama,Field-Tested,Classified,Dreams and Nightmares Case,2.31,23.1,16.3,-6.8,-5.95,-25.76
1,Dual Berettas,Melondrama,Field-Tested,Classified,Dreams and Nightmares Case,3.87,38.7,32.15,-6.55,-5.73,-14.81
0,MP7,Abyssal Apparition,Field-Tested,Classified,Dreams and Nightmares Case,2.21,22.1,16.3,-5.8,-5.08,-22.99
1,M4A1-S,Night Terror,Well-Worn,Restricted,Dreams and Nightmares Case,5.73,57.300000000000004,2.93,-54.37,-47.57,-83.02
1,XM1014,Zombie Offensive,Factory New,Restricted,Dreams and Nightmares Case,2.7,27.0,21.35,-5.65,-4.94,-18.3
0,MP7,Abyssal Apparition,Well-Worn,Classified,Dreams and Nightmares Case,1.8,18.0,12.46,-5.54,-4.85,-26.94
0,FAMAS,Rapid Eye Movement,Well-Worn,Classified,Dreams and Nightmares Case,1.78,17.8,12.46,-5.34,-4.67,-26.24
0,Dual Berettas,Melondrama,Well-Worn,Classified,Dreams and Nightmares Case,1.78,17.8,12.46,-5.34,-4.67,-26.24
0,FAMAS,Rapid Eye Movement,Field-Tested,Classified,Dreams and Nightmares Case,2.16,21.6,16.3,-5.3,-4.64,-21.48
0,USP-S,Ticket to Hell,Field-Tested,Restricted,Dreams and Nightmares Case,0.72,7.199999999999999,2.23,-4.97,-4.35,-60.42
1,PP-Bizon,Space Cat,Well-Worn,Restricted,Dreams and Nightmares Case,0.79,7.9,2.93,-4.97,-4.35,-55.06
1,MP7,Abyssal Apparition,Field-Tested,Classified,Dreams and Nightmares Case,3.71,37.1,32.15,-4.95,-4.33,-11.67
1,FAMAS,Rapid Eye Movement,Field-Tested,Classified,Dreams and Nightmares Case,3.7,37.0,32.15,-4.85,-4.24,-11.46
1,MP7,Abyssal Apparition,Well-Worn,Classified,Dreams and Nightmares Case,2.99,29.900000000000002,25.27,-4.63,-4.05,-13.55
1,USP-S,Ticket to Hell,Minimal Wear,Restricted,Dreams and Nightmares Case,5.29,52.9,8.25,-44.65,-39.07,-73.86
1,M4A1-S,Night Terror,Minimal Wear,Restricted,Dreams and Nightmares Case,5.16,51.6,8.25,-43.35,-37.93,-73.51
