StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,Sawed-Off,Limelight,Battle-Scarred,Restricted,Gamma Case,0.75,7.5,8.74,1.24,1.08,14.4
1,MAC-10,Carnivore,Well-Worn,Mil_Spec Grade,Gamma Case,0.2,2.0,2.85,0.85,0.74,37.0
1,PP-Bizon,Harvester,Well-Worn,Mil_Spec Grade,Gamma Case,0.2,2.0,2.85,0.85,0.74,37.0
0,MAC-10,Carnivore,Well-Worn,Mil_Spec Grade,Gamma Case,0.11,1.1,1.33,0.23,0.2,18.18
1,P250,Iron Clad,Well-Worn,Mil_Spec Grade,Gamma Case,0.28,2.8000000000000003,2.85,0.05,0.04,1.43
1,P90,Chopper,Factory New,Restricted,Gamma Case,4.82,48.2,37.54,-10.66,-9.33,-19.36
0,AWP,Phobos,Field-Tested,Restricted,Gamma Case,1.45,14.5,4.14,-10.36,-9.06,-62.48
1,M4A4,Desolate Space,Well-Worn,Classified,Gamma Case,12.99,129.9,31.07,-98.83,-86.48,-66.57
1,P250,Iron Clad,Factory New,Mil_Spec Grade,Gamma Case,1.7,17.0,7.17,-9.83,-8.6,-50.59
1,AUG,Aristocrat,Minimal Wear,Restricted,Gamma Case,2.5,25.0,15.82,-9.18,-8.03,-32.12
1,P90,Chopper,Minimal Wear,Restricted,Gamma Case,2.5,25.0,15.82,-9.18,-8.03,-32.12
1,R8 Revolver,Reboot,Factory New,Restricted,Gamma Case,12.72,127.2,37.54,-89.66,-78.45,-61.67
0,M4A4,Desolate Space,Minimal Wear,Classified,Gamma Case,10.88,108.80000000000001,21.49,-87.31,-76.4,-70.22
1,M4A4,Desolate Space,Battle-Scarred,Classified,Gamma Case,10.84,108.4,24.17,-84.23,-73.7,-67.99
1,SCAR-20,Bloodsport,Well-Worn,Classified,Gamma Case,4.02,40.199999999999996,31.07,-9.13,-7.99,-19.88
0,AUG,Aristocrat,Factory New,Restricted,Gamma Case,2.32,23.2,14.17,-9.03,-7.9,-34.05
0,AWP,Phobos,Minimal Wear,Restricted,Gamma Case,1.57,15.700000000000001,6.82,-8.88,-7.77,-49.49
1,Five-SeveN,Violent Daimyo,Well-Worn,Mil_Spec Grade,Gamma Case,1.17,11.7,2.85,-8.85,-7.74,-66.15
0,AWP,Phobos,Factory New,Restricted,Gamma Case,2.28,22.799999999999997,14.17,-8.63,-7.55,-33.11
1,Tec-9,Ice Cap,Minimal Wear,Mil_Spec Grade,Gamma Case,1.16,11.6,3.19,-8.41,-7.36,-63.45
1,R8 Revolver,Reboot,Field-Tested,Restricted,Gamma Case,1.73,17.3,9.03,-8.27,-7.24,-41.85
1,SCAR-20,Bloodsport,Factory New,Classified,Gamma Case,15.76,157.6,80.73,-76.87,-67.26,-42.68
1,AWP,Phobos,Well-Worn,Restricted,Gamma Case,7.97,79.7,7.52,-72.18,-63.16,-79.25
1,AUG,Aristocrat,Battle-Scarred,Restricted,Gamma Case,1.63,16.299999999999997,8.74,-7.56,-6.61,-40.55
1,M4A4,Desolate Space,Factory New,Classified,Gamma Case,74.23,742.3000000000001,80.73,-661.57,-578.87,-77.98
0,Sawed-Off,Limelight,Factory New,Restricted,Gamma Case,2.1,21.0,14.17,-6.83,-5.98,-28.48
1,Five-SeveN,Violent Daimyo,Minimal Wear,Mil_Spec Grade,Gamma Case,0.97,9.7,3.19,-6.51,-5.7,-58.76
1,P90,Chopper,Battle-Scarred,Restricted,Gamma Case,1.5,15.0,8.74,-6.26,-5.48,-36.53
0,AUG,Aristocrat,Well-Worn,Restricted,Gamma Case,0.98,9.8,3.68,-6.12,-5.36,-54.69
1,P90,Chopper,Field-Tested,Restricted,Gamma Case,1.49,14.9,9.03,-5.87,-5.14,-34.5
1,Sawed-Off,Limelight,Minimal Wear,Restricted,Gamma Case,2.16,21.6,15.82,-5.78,-5.06,-23.43
1,P2000,Imperial Dragon,Minimal Wear,Classified,Gamma Case,10.05,100.5,45.66,-54.84,-47.98,-47.74
0,M4A4,Desolate Space,Field-Tested,Classified,Gamma Case,6.7,67.0,14.21,-52.79,-46.19,-68.94
0,P2000,Imperial Dragon,Factory New,Classified,Gamma Case,8.13,81.30000000000001,34.4,-46.9,-41.04,-50.48
0,P90,Chopper,Well-Worn,Restricted,Gamma Case,0.93,9.3,3.68,-5.62,-4.92,-52.9
0,R8 Revolver,Reboot,Minimal Wear,Restricted,Gamma Case,1.17,11.7,6.82,-4.88,-4.27,-36.5
1,PP-Bizon,Harvester,Factory New,Mil_Spec Grade,Gamma Case,1.18,11.799999999999999,7.17,-4.63,-4.05,-34.32
1,P2000,Imperial Dragon,Battle-Scarred,Classified,Gamma Case,6.64,66.39999999999999,24.17,-42.23,-36.95,-55.65
0,SCAR-20,Bloodsport,Factory New,Classified,Gamma Case,7.48,74.80000000000001,34.4,-40.4,-35.35,-47.26
0,M4A4,Desolate Space,Well-Worn,Classified,Gamma Case,5.44,54.400000000000006,15.62,-38.78,-33.93,-62.37
1,AWP,Phobos,Field-Tested,Restricted,Gamma Case,4.58,45.8,9.03,-36.77,-32.17,-70.24
0,AWP,Phobos,Well-Worn,Restricted,Gamma Case,3.88,38.8,3.68,-35.12,-30.73,-79.2
0,M4A4,Desolate Space,Battle-Scarred,Classified,Gamma Case,4.6,46.0,11.23,-34.77,-30.42,-66.13
1,AUG,Aristocrat,Field-Tested,Restricted,Gamma Case,1.3,13.0,9.03,-3.97,-3.47,-26.69
1,SG 553,Aerial,Factory New,Mil_Spec Grade,Gamma Case,1.11,11.100000000000001,7.17,-3.93,-3.44,-30.99
0,Tec-9,Ice Cap,Factory New,Mil_Spec Grade,Gamma Case,0.63,6.3,2.39,-3.91,-3.42,-54.29
1,Tec-9,Ice Cap,Battle-Scarred,Mil_Spec Grade,Gamma Case,0.5,5.0,1.21,-3.79,-3.32,-66.4
0,AUG,Aristocrat,Minimal Wear,Restricted,Gamma Case,1.05,10.5,6.82,-3.68,-3.22,-30.67
1,R8 Revolver,Reboot,Well-Worn,Restricted,Gamma Case,1.12,11.200000000000001,7.52,-3.68,-3.22,-28.75
0,P90,Chopper,Factory New,Restricted,Gamma Case,1.76,17.6,14.17,-3.43,-3.0,-17.05
