StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,P2000,Turf,Well-Worn,Mil_Spec Grade,Glove Case,0.27,2.7,2.97,0.27,0.24,8.89
1,MAG-7,Sonar,Well-Worn,Mil_Spec Grade,Glove Case,0.28,2.8000000000000003,2.97,0.17,0.15,5.36
1,Galil AR,Black Sand,Well-Worn,Mil_Spec Grade,Glove Case,0.29,2.9,2.97,0.07,0.06,2.07
1,CZ75-Auto,Polymer,Well-Worn,Mil_Spec Grade,Glove Case,0.29,2.9,2.97,0.07,0.06,2.07
1,USP-S,Cyrex,Factory New,Restricted,Glove Case,12.34,123.4,15.87,-107.53,-94.09,-76.25
0,USP-S,Cyrex,Battle-Scarred,Restricted,Glove Case,1.35,13.5,2.32,-11.18,-9.78,-72.44
0,P90,Shallow Grave,Battle-Scarred,Classified,Glove Case,2.1,21.0,9.89,-11.11,-9.72,-46.29
1,Sawed-Off,Wasteland Princess,Battle-Scarred,Classified,Glove Case,3.29,32.9,22.32,-10.58,-9.26,-28.15
1,FAMAS,Mecha Industries,Factory New,Classified,Glove Case,17.3,173.0,75.79,-97.21,-85.06,-49.17
0,P90,Shallow Grave,Field-Tested,Classified,Glove Case,2.05,20.5,11.14,-9.36,-8.19,-39.95
1,P90,Shallow Grave,Factory New,Classified,Glove Case,15.6,156.0,75.79,-80.21,-70.18,-44.99
0,Sawed-Off,Wasteland Princess,Battle-Scarred,Classified,Glove Case,1.85,18.5,9.89,-8.61,-7.53,-40.7
0,Sawed-Off,Wasteland Princess,Field-Tested,Classified,Glove Case,1.95,19.5,11.14,-8.36,-7.31,-37.49
1,MP7,Cirrus,Well-Worn,Mil_Spec Grade,Glove Case,1.12,11.200000000000001,2.97,-8.23,-7.2,-64.29
1,Glock-18,Ironwork,Minimal Wear,Mil_Spec Grade,Glove Case,1.18,11.799999999999999,3.72,-8.08,-7.07,-59.92
1,Sawed-Off,Wasteland Princess,Factory New,Classified,Glove Case,14.7,147.0,75.79,-71.21,-62.31,-42.39
1,Sawed-Off,Wasteland Princess,Field-Tested,Classified,Glove Case,3.57,35.699999999999996,27.9,-7.8,-6.83,-19.13
0,M4A1-S,Flashback,Battle-Scarred,Restricted,Glove Case,1.01,10.1,2.32,-7.78,-6.81,-67.43
0,M4A1-S,Flashback,Field-Tested,Restricted,Glove Case,1.0,10.0,2.34,-7.66,-6.7,-67.0
1,Sawed-Off,Wasteland Princess,Well-Worn,Classified,Glove Case,3.19,31.9,24.31,-7.59,-6.64,-20.82
1,MP7,Cirrus,Minimal Wear,Mil_Spec Grade,Glove Case,1.13,11.299999999999999,3.72,-7.58,-6.63,-58.67
0,M4A1-S,Flashback,Well-Worn,Restricted,Glove Case,0.99,9.9,2.55,-7.35,-6.43,-64.95
0,G3SG1,Stinger,Well-Worn,Restricted,Glove Case,0.95,9.5,2.55,-6.95,-6.08,-64.0
1,USP-S,Cyrex,Minimal Wear,Restricted,Glove Case,7.08,70.8,8.36,-62.44,-54.63,-77.16
1,Dual Berettas,Royal Consorts,Factory New,Restricted,Glove Case,7.68,76.8,15.87,-60.93,-53.31,-69.41
1,FAMAS,Mecha Industries,Minimal Wear,Classified,Glove Case,10.09,100.9,42.1,-58.8,-51.45,-50.99
1,USP-S,Cyrex,Well-Worn,Restricted,Glove Case,6.14,61.4,4.18,-57.22,-50.07,-81.55
1,G3SG1,Stinger,Minimal Wear,Restricted,Glove Case,1.49,14.9,8.36,-6.54,-5.72,-38.39
0,Dual Berettas,Royal Consorts,Minimal Wear,Restricted,Glove Case,1.06,10.600000000000001,4.07,-6.53,-5.71,-53.87
1,Dual Berettas,Royal Consorts,Well-Worn,Restricted,Glove Case,1.05,10.5,4.18,-6.32,-5.53,-52.67
0,MP7,Cirrus,Factory New,Mil_Spec Grade,Glove Case,0.88,8.8,2.66,-6.14,-5.37,-61.02
0,G3SG1,Stinger,Factory New,Restricted,Glove Case,1.35,13.5,7.57,-5.93,-5.19,-38.44
0,P2000,Turf,Factory New,Mil_Spec Grade,Glove Case,0.84,8.4,2.66,-5.74,-5.02,-59.76
1,M4A1-S,Flashback,Minimal Wear,Restricted,Glove Case,6.35,63.5,8.36,-55.14,-48.25,-75.98
1,Nova,Gila,Field-Tested,Restricted,Glove Case,1.01,10.1,4.4,-5.7,-4.99,-49.41
1,Dual Berettas,Royal Consorts,Field-Tested,Restricted,Glove Case,1.0,10.0,4.4,-5.6,-4.9,-49.0
1,Dual Berettas,Royal Consorts,Battle-Scarred,Restricted,Glove Case,0.95,9.5,4.04,-5.46,-4.78,-50.32
1,Nova,Gila,Minimal Wear,Restricted,Glove Case,1.33,13.3,8.36,-4.94,-4.32,-32.48
0,Nova,Gila,Factory New,Restricted,Glove Case,1.24,12.4,7.57,-4.83,-4.23,-34.11
0,P90,Shallow Grave,Factory New,Classified,Glove Case,7.77,77.69999999999999,34.46,-43.24,-37.84,-48.7
0,FAMAS,Mecha Industries,Factory New,Classified,Glove Case,7.67,76.7,34.46,-42.24,-36.96,-48.19
1,Glock-18,Ironwork,Factory New,Mil_Spec Grade,Glove Case,4.9,49.0,8.37,-40.63,-35.55,-72.55
0,Sawed-Off,Wasteland Princess,Factory New,Classified,Glove Case,7.27,72.69999999999999,34.46,-38.24,-33.46,-46.02
1,P90,Shallow Grave,Minimal Wear,Classified,Glove Case,7.98,79.80000000000001,42.1,-37.7,-32.99,-41.34
1,M4A1-S,Flashback,Field-Tested,Restricted,Glove Case,4.09,40.9,4.4,-36.5,-31.94,-78.09
1,USP-S,Cyrex,Field-Tested,Restricted,Glove Case,4.06,40.599999999999994,4.4,-36.2,-31.68,-78.03
1,M4A1-S,Flashback,Battle-Scarred,Restricted,Glove Case,4.0,40.0,4.04,-35.96,-31.46,-78.65
1,USP-S,Cyrex,Battle-Scarred,Restricted,Glove Case,3.96,39.6,4.04,-35.56,-31.12,-78.59
1,M4A1-S,Flashback,Well-Worn,Restricted,Glove Case,3.97,39.7,4.18,-35.52,-31.08,-78.29
0,G3SG1,Stinger,Minimal Wear,Restricted,Glove Case,0.81,8.100000000000001,4.07,-4.03,-3.53,-43.58
1,Glock-18,Ironwork,Field-Tested,Mil_Spec Grade,Glove Case,0.58,5.8,2.16,-3.64,-3.19,-55.0
0,FAMAS,Mecha Industries,Minimal Wear,Classified,Glove Case,4.86,48.6,15.68,-32.92,-28.8,-59.26
0,USP-S,Cyrex,Factory New,Restricted,Glove Case,3.91,39.1,7.57,-31.53,-27.59,-70.56
1,FAMAS,Mecha Industries,Battle-Scarred,Classified,Glove Case,5.19,51.900000000000006,22.32,-29.58,-25.88,-49.87
0,M4A1-S,Flashback,Factory New,Restricted,Glove Case,3.69,36.9,7.57,-29.33,-25.66,-69.54
1,FAMAS,Mecha Industries,Field-Tested,Classified,Glove Case,5.61,56.1,27.9,-28.2,-24.68,-43.99
1,Sawed-Off,Wasteland Princess,Minimal Wear,Classified,Glove Case,7.0,70.0,42.1,-27.9,-24.41,-34.87
1,FAMAS,Mecha Industries,Well-Worn,Classified,Glove Case,5.14,51.4,24.31,-27.09,-23.7,-46.11
1,P2000,Turf,Factory New,Mil_Spec Grade,Glove Case,3.26,32.599999999999994,8.37,-24.23,-21.2,-65.03
0,Dual Berettas,Royal Consorts,Factory New,Restricted,Glove Case,3.11,31.099999999999998,7.57,-23.53,-20.59,-66.21
1,P2000,Turf,Minimal Wear,Mil_Spec Grade,Glove Case,0.69,6.8999999999999995,3.72,-3.18,-2.78,-40.29
1,G3SG1,Stinger,Well-Worn,Restricted,Glove Case,0.72,7.199999999999999,4.18,-3.02,-2.64,-36.67
1,MP7,Cirrus,Field-Tested,Mil_Spec Grade,Glove Case,0.51,5.1,2.16,-2.94,-2.57,-50.39
0,Nova,Gila,Minimal Wear,Restricted,Glove Case,0.69,6.8999999999999995,4.07,-2.83,-2.48,-35.94
1,MAG-7,Sonar,Factory New,Mil_Spec Grade,Glove Case,1.12,11.200000000000001,8.37,-2.83,-2.48,-22.14
0,G3SG1,Stinger,Field-Tested,Restricted,Glove Case,0.51,5.1,2.34,-2.76,-2.42,-47.45
0,Galil AR,Black Sand,Factory New,Mil_Spec Grade,Glove Case,0.52,5.2,2.66,-2.54,-2.22,-42.69
0,Dual Berettas,Royal Consorts,Field-Tested,Restricted,Glove Case,0.47,4.699999999999999,2.34,-2.36,-2.06,-43.83
0,USP-S,Cyrex,Minimal Wear,Restricted,Glove Case,2.58,25.8,4.07,-21.73,-19.01,-73.68
1,MP7,Cirrus,Factory New,Mil_Spec Grade,Glove Case,2.97,29.700000000000003,8.37,-21.33,-18.66,-62.83
0,P90,Shallow Grave,Minimal Wear,Classified,Glove Case,3.68,36.800000000000004,15.68,-21.12,-18.48,-50.22
0,Sawed-Off,Wasteland Princess,Minimal Wear,Classified,Glove Case,3.67,36.7,15.68,-21.02,-18.39,-50.11
0,FAMAS,Mecha Industries,Battle-Scarred,Classified,Glove Case,3.02,30.2,9.89,-20.31,-17.77,-58.84
0,FAMAS,Mecha Industries,Field-Tested,Classified,Glove Case,3.03,30.299999999999997,11.14,-19.16,-16.77,-55.35
0,FAMAS,Mecha Industries,Well-Worn,Classified,Glove Case,3.01,30.099999999999998,11.47,-18.63,-16.3,-54.15
1,P90,Shallow Grave,Well-Worn,Classified,Glove Case,4.22,42.199999999999996,24.31,-17.89,-15.65,-37.09
0,USP-S,Cyrex,Well-Worn,Restricted,Glove Case,2.03,20.299999999999997,2.55,-17.75,-15.53,-76.5
1,Dual Berettas,Royal Consorts,Minimal Wear,Restricted,Glove Case,2.37,23.700000000000003,8.36,-15.34,-13.42,-56.62
1,G3SG1,Stinger,Factory New,Restricted,Glove Case,3.12,31.200000000000003,15.87,-15.33,-13.41,-42.98
1,M4A1-S,Flashback,Factory New,Restricted,Glove Case,15.65,156.5,15.87,-140.63,-123.05,-78.63
1,Nova,Gila,Factory New,Restricted,Glove Case,3.05,30.5,15.87,-14.63,-12.8,-41.97
1,Galil AR,Black Sand,Factory New,Mil_Spec Grade,Glove Case,2.27,22.7,8.37,-14.33,-12.54,-55.24
1,P90,Shallow Grave,Battle-Scarred,Classified,Glove Case,3.65,36.5,22.32,-14.18,-12.41,-34.0
0,M4A1-S,Flashback,Minimal Wear,Restricted,Glove Case,1.77,17.7,4.07,-13.63,-11.93,-67.4
1,P90,Shallow Grave,Field-Tested,Classified,Glove Case,4.03,40.300000000000004,27.9,-12.4,-10.85,-26.92
0,USP-S,Cyrex,Field-Tested,Restricted,Glove Case,1.46,14.6,2.34,-12.26,-10.73,-73.49
0,Sawed-Off,Wasteland Princess,Well-Worn,Classified,Glove Case,2.35,23.5,11.47,-12.03,-10.53,-44.81
0,P90,Shallow Grave,Well-Worn,Classified,Glove Case,2.3,23.0,11.47,-11.53,-10.09,-43.87
0,Glock-18,Ironwork,Factory New,Mil_Spec Grade,Glove Case,1.41,14.1,2.66,-11.44,-10.01,-70.99
1,Galil AR,Black Sand,Minimal Wear,Mil_Spec Grade,Glove Case,0.6,6.0,3.72,-2.28,-1.99,-33.17
0,Nova,Gila,Field-Tested,Restricted,Glove Case,0.46,4.6000000000000005,2.34,-2.26,-1.98,-43.04
1,G3SG1,Stinger,Battle-Scarred,Restricted,Glove Case,0.63,6.3,4.04,-2.26,-1.98,-31.43
0,MP7,Cirrus,Minimal Wear,Mil_Spec Grade,Glove Case,0.36,3.5999999999999996,1.38,-2.22,-1.94,-53.89
1,G3SG1,Stinger,Field-Tested,Restricted,Glove Case,0.65,6.5,4.4,-2.1,-1.84,-28.31
0,MP7,Cirrus,Well-Worn,Mil_Spec Grade,Glove Case,0.31,3.1,1.09,-2.01,-1.76,-56.77
0,Glock-18,Ironwork,Minimal Wear,Mil_Spec Grade,Glove Case,0.33,3.3000000000000003,1.38,-1.92,-1.68,-50.91
1,MP7,Cirrus,Battle-Scarred,Mil_Spec Grade,Glove Case,0.43,4.3,2.38,-1.92,-1.68,-39.07
1,CZ75-Auto,Polymer,Factory New,Mil_Spec Grade,Glove Case,1.01,10.1,8.37,-1.73,-1.51,-14.95
1,Glock-18,Ironwork,Battle-Scarred,Mil_Spec Grade,Glove Case,0.41,4.1,2.38,-1.72,-1.5,-36.59
1,MP9,Sand Scale,Factory New,Mil_Spec Grade,Glove Case,1.0,10.0,8.37,-1.63,-1.43,-14.3
0,Dual Berettas,Royal Consorts,Battle-Scarred,Restricted,Glove Case,0.38,3.8,2.32,-1.48,-1.29,-33.95
0,G3SG1,Stinger,Battle-Scarred,Restricted,Glove Case,0.38,3.8,2.32,-1.48,-1.29,-33.95
