StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,SSG 08,Abyss,Factory New,Mil_Spec Grade,Operation Breakout Weapon Case,11.06,110.60000000000001,4.17,-106.43,-93.13,-84.2
1,Desert Eagle,Conspiracy,Field-Tested,Classified,Operation Breakout Weapon Case,13.34,133.4,27.48,-105.92,-92.68,-69.48
1,Glock-18,Water Elemental,Field-Tested,Classified,Operation Breakout Weapon Case,13.29,132.89999999999998,27.48,-105.42,-92.24,-69.41
1,Glock-18,Water Elemental,Well-Worn,Classified,Operation Breakout Weapon Case,12.84,128.4,23.92,-104.48,-91.42,-71.2
1,Five-SeveN,Fowl Play,Battle-Scarred,Classified,Operation Breakout Weapon Case,3.39,33.9,22.53,-11.37,-9.95,-29.35
1,P250,Supernova,Well-Worn,Restricted,Operation Breakout Weapon Case,1.89,18.9,8.25,-10.65,-9.32,-49.31
0,Five-SeveN,Fowl Play,Well-Worn,Classified,Operation Breakout Weapon Case,2.17,21.7,11.18,-10.52,-9.21,-42.44
0,Five-SeveN,Fowl Play,Field-Tested,Classified,Operation Breakout Weapon Case,2.25,22.5,12.12,-10.38,-9.08,-40.36
0,Glock-18,Water Elemental,Factory New,Classified,Operation Breakout Weapon Case,12.68,126.8,33.37,-93.43,-81.75,-64.47
1,P250,Supernova,Factory New,Restricted,Operation Breakout Weapon Case,3.78,37.8,27.93,-9.87,-8.64,-22.86
1,PP-Bizon,Osiris,Minimal Wear,Restricted,Operation Breakout Weapon Case,2.58,25.8,16.17,-9.63,-8.43,-32.67
1,P250,Supernova,Minimal Wear,Restricted,Operation Breakout Weapon Case,2.52,25.2,16.17,-9.03,-7.9,-31.35
1,Nova,Koi,Minimal Wear,Restricted,Operation Breakout Weapon Case,2.5,25.0,16.17,-8.83,-7.73,-30.92
1,SSG 08,Abyss,Field-Tested,Mil_Spec Grade,Operation Breakout Weapon Case,1.0,10.0,1.58,-8.42,-7.37,-73.7
0,SSG 08,Abyss,Minimal Wear,Mil_Spec Grade,Operation Breakout Weapon Case,0.89,8.9,0.83,-8.07,-7.06,-79.33
1,Glock-18,Water Elemental,Battle-Scarred,Classified,Operation Breakout Weapon Case,9.72,97.2,22.53,-74.67,-65.34,-67.22
1,Five-SeveN,Fowl Play,Factory New,Classified,Operation Breakout Weapon Case,18.22,182.2,112.82,-69.38,-60.71,-33.32
0,CZ75-Auto,Tigris,Factory New,Restricted,Operation Breakout Weapon Case,1.72,17.2,9.72,-7.48,-6.54,-38.02
0,P250,Supernova,Well-Worn,Restricted,Operation Breakout Weapon Case,1.12,11.200000000000001,4.34,-6.86,-6.0,-53.57
1,Nova,Koi,Field-Tested,Restricted,Operation Breakout Weapon Case,1.69,16.9,10.28,-6.62,-5.79,-34.26
1,SSG 08,Abyss,Battle-Scarred,Mil_Spec Grade,Operation Breakout Weapon Case,0.72,7.199999999999999,1.04,-6.16,-5.39,-74.86
1,SSG 08,Abyss,Well-Worn,Mil_Spec Grade,Operation Breakout Weapon Case,0.75,7.5,1.45,-6.05,-5.29,-70.53
1,P250,Supernova,Field-Tested,Restricted,Operation Breakout Weapon Case,1.63,16.299999999999997,10.28,-6.02,-5.27,-32.33
0,Desert Eagle,Conspiracy,Factory New,Classified,Operation Breakout Weapon Case,8.77,87.69999999999999,33.37,-54.33,-47.54,-54.21
0,Glock-18,Water Elemental,Well-Worn,Classified,Operation Breakout Weapon Case,6.52,65.19999999999999,11.18,-54.02,-47.27,-72.5
0,Glock-18,Water Elemental,Minimal Wear,Classified,Operation Breakout Weapon Case,7.28,72.8,19.46,-53.34,-46.67,-64.11
1,PP-Bizon,Osiris,Field-Tested,Restricted,Operation Breakout Weapon Case,1.58,15.8,10.28,-5.52,-4.83,-30.57
0,Desert Eagle,Conspiracy,Field-Tested,Classified,Operation Breakout Weapon Case,5.67,56.7,12.12,-44.58,-39.01,-68.8
0,Desert Eagle,Conspiracy,Minimal Wear,Classified,Operation Breakout Weapon Case,6.4,64.0,19.46,-44.54,-38.97,-60.89
0,Five-SeveN,Fowl Play,Factory New,Classified,Operation Breakout Weapon Case,7.72,77.2,33.37,-43.83,-38.35,-49.68
0,Glock-18,Water Elemental,Field-Tested,Classified,Operation Breakout Weapon Case,5.21,52.1,12.12,-39.98,-34.98,-67.14
0,SSG 08,Abyss,Factory New,Mil_Spec Grade,Operation Breakout Weapon Case,3.59,35.9,1.42,-34.48,-30.17,-84.04
1,PP-Bizon,Osiris,Well-Worn,Restricted,Operation Breakout Weapon Case,1.28,12.8,8.25,-4.55,-3.98,-31.09
1,MP7,Urban Hazard,Factory New,Mil_Spec Grade,Operation Breakout Weapon Case,0.86,8.6,4.17,-4.43,-3.88,-45.12
1,PP-Bizon,Osiris,Battle-Scarred,Restricted,Operation Breakout Weapon Case,1.09,10.9,6.56,-4.34,-3.8,-34.86
1,UMP-45,Labyrinth,Factory New,Mil_Spec Grade,Operation Breakout Weapon Case,0.82,8.2,4.17,-4.03,-3.53,-43.05
1,CZ75-Auto,Tigris,Field-Tested,Restricted,Operation Breakout Weapon Case,1.43,14.299999999999999,10.28,-4.02,-3.52,-24.62
0,PP-Bizon,Osiris,Factory New,Restricted,Operation Breakout Weapon Case,1.35,13.5,9.72,-3.78,-3.31,-24.52
0,P2000,Ivory,Factory New,Mil_Spec Grade,Operation Breakout Weapon Case,0.52,5.2,1.42,-3.78,-3.31,-63.65
0,P250,Supernova,Factory New,Restricted,Operation Breakout Weapon Case,1.34,13.4,9.72,-3.68,-3.22,-24.03
