StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,UMP-45,Corporal,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.61,6.1,7.75,1.65,1.44,23.61
1,Negev,Terrain,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.63,6.3,7.75,1.45,1.27,20.16
1,MAG-7,Heaven Guard,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.65,6.5,7.75,1.25,1.09,16.77
0,MAC-10,Heat,Minimal Wear,Restricted,Operation Phoenix Weapon Case,3.17,31.7,32.85,1.15,1.01,3.19
0,USP-S,Guardian,Minimal Wear,Restricted,Operation Phoenix Weapon Case,3.25,32.5,32.85,0.35,0.31,0.95
0,UMP-45,Corporal,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.32,3.2,3.44,0.24,0.21,6.56
0,Negev,Terrain,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,0.49,4.9,5.04,0.14,0.12,2.45
0,MAG-7,Heaven Guard,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,0.5,5.0,5.04,0.04,0.04,0.8
0,AK-47,Redline,Field-Tested,Classified,Operation Phoenix Weapon Case,17.68,176.8,70.23,-106.57,-93.25,-52.74
0,Nova,Antique,Factory New,Classified,Operation Phoenix Weapon Case,11.01,110.1,5.9,-104.2,-91.17,-82.81
0,Tec-9,Sandstorm,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,1.42,14.2,3.44,-10.76,-9.41,-66.27
1,MAC-10,Heat,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,2.78,27.799999999999997,17.43,-10.37,-9.07,-32.63
0,P90,Trigon,Minimal Wear,Classified,Operation Phoenix Weapon Case,10.01,100.1,4.1,-96.0,-84.0,-83.92
0,AK-47,Redline,Well-Worn,Classified,Operation Phoenix Weapon Case,14.82,148.2,53.53,-94.67,-82.84,-55.9
0,Nova,Antique,Minimal Wear,Classified,Operation Phoenix Weapon Case,9.61,96.1,4.1,-92.0,-80.5,-83.77
0,P90,Trigon,Field-Tested,Classified,Operation Phoenix Weapon Case,8.01,80.1,70.23,-9.87,-8.64,-10.79
1,SG 553,Pulse,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,2.65,26.5,17.43,-9.07,-7.94,-29.96
0,USP-S,Guardian,Field-Tested,Restricted,Operation Phoenix Weapon Case,2.0,20.0,11.69,-8.31,-7.27,-36.35
0,AK-47,Redline,Battle-Scarred,Classified,Operation Phoenix Weapon Case,12.06,120.60000000000001,41.4,-79.2,-69.3,-57.46
0,AK-47,Redline,Minimal Wear,Classified,Operation Phoenix Weapon Case,78.92,789.2,4.1,-785.1,-686.96,-87.05
1,P90,Trigon,Battle-Scarred,Classified,Operation Phoenix Weapon Case,14.65,146.5,68.03,-78.47,-68.66,-46.87
1,MAC-10,Heat,Factory New,Restricted,Operation Phoenix Weapon Case,10.0,100.0,22.59,-77.41,-67.73,-67.73
1,USP-S,Guardian,Factory New,Restricted,Operation Phoenix Weapon Case,9.79,97.89999999999999,22.59,-75.31,-65.9,-67.31
1,SG 553,Pulse,Well-Worn,Restricted,Operation Phoenix Weapon Case,3.02,30.2,22.28,-7.92,-6.93,-22.95
0,SG 553,Pulse,Well-Worn,Restricted,Operation Phoenix Weapon Case,1.85,18.5,11.44,-7.06,-6.18,-33.41
0,P90,Trigon,Battle-Scarred,Classified,Operation Phoenix Weapon Case,10.14,101.4,41.4,-60.0,-52.5,-51.78
0,SG 553,Pulse,Field-Tested,Restricted,Operation Phoenix Weapon Case,1.85,18.5,11.69,-6.81,-5.96,-32.22
1,FAMAS,Sergeant,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,2.35,23.5,17.43,-6.07,-5.31,-22.6
0,MAC-10,Heat,Field-Tested,Restricted,Operation Phoenix Weapon Case,1.76,17.6,11.69,-5.91,-5.17,-29.37
0,SG 553,Pulse,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,1.7,17.0,11.1,-5.9,-5.16,-30.35
1,MAC-10,Heat,Well-Worn,Restricted,Operation Phoenix Weapon Case,2.79,27.9,22.28,-5.62,-4.92,-17.63
0,FAMAS,Sergeant,Field-Tested,Restricted,Operation Phoenix Weapon Case,1.73,17.3,11.69,-5.61,-4.91,-28.38
1,Tec-9,Sandstorm,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.84,8.4,2.8,-5.6,-4.9,-58.33
0,FAMAS,Sergeant,Minimal Wear,Restricted,Operation Phoenix Weapon Case,3.81,38.1,32.85,-5.25,-4.59,-12.05
1,MAC-10,Heat,Field-Tested,Restricted,Operation Phoenix Weapon Case,2.98,29.8,24.68,-5.12,-4.48,-15.03
1,P90,Trigon,Field-Tested,Classified,Operation Phoenix Weapon Case,13.24,132.4,127.51,-4.89,-4.28,-3.23
0,MAC-10,Heat,Factory New,Restricted,Operation Phoenix Weapon Case,5.32,53.2,11.01,-42.19,-36.92,-69.4
0,USP-S,Guardian,Factory New,Restricted,Operation Phoenix Weapon Case,4.76,47.599999999999994,11.01,-36.59,-32.02,-67.27
0,UMP-45,Corporal,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,0.95,9.5,5.04,-4.46,-3.9,-41.05
0,MAC-10,Heat,Well-Worn,Restricted,Operation Phoenix Weapon Case,1.58,15.8,11.44,-4.36,-3.82,-24.18
0,FAMAS,Sergeant,Well-Worn,Restricted,Operation Phoenix Weapon Case,1.58,15.8,11.44,-4.36,-3.82,-24.18
1,SG 553,Pulse,Field-Tested,Restricted,Operation Phoenix Weapon Case,2.9,29.0,24.68,-4.32,-3.78,-13.03
0,MAC-10,Heat,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,1.54,15.4,11.1,-4.3,-3.76,-24.42
1,Negev,Terrain,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.69,6.8999999999999995,2.8,-4.1,-3.59,-52.03
1,FAMAS,Sergeant,Field-Tested,Restricted,Operation Phoenix Weapon Case,2.83,28.3,24.68,-3.62,-3.17,-11.2
1,FAMAS,Sergeant,Well-Worn,Restricted,Operation Phoenix Weapon Case,2.58,25.8,22.28,-3.52,-3.08,-11.94
1,AK-47,Redline,Field-Tested,Classified,Operation Phoenix Weapon Case,46.62,466.2,127.51,-338.69,-296.35,-63.57
1,P90,Trigon,Well-Worn,Classified,Operation Phoenix Weapon Case,12.06,120.60000000000001,87.33,-33.27,-29.11,-24.14
0,P90,Trigon,Well-Worn,Classified,Operation Phoenix Weapon Case,8.05,80.5,53.53,-26.97,-23.6,-29.32
1,AK-47,Redline,Well-Worn,Classified,Operation Phoenix Weapon Case,32.49,324.90000000000003,87.33,-237.57,-207.87,-63.98
0,Nova,Antique,Field-Tested,Classified,Operation Phoenix Weapon Case,9.37,93.69999999999999,70.23,-23.47,-20.54,-21.92
1,UMP-45,Corporal,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,1.28,12.8,9.89,-2.91,-2.55,-19.92
0,SG 553,Pulse,Minimal Wear,Restricted,Operation Phoenix Weapon Case,3.54,35.4,32.85,-2.55,-2.23,-6.3
0,FAMAS,Sergeant,Battle-Scarred,Restricted,Operation Phoenix Weapon Case,1.34,13.4,11.1,-2.3,-2.01,-15.0
1,SG 553,Pulse,Minimal Wear,Restricted,Operation Phoenix Weapon Case,9.0,90.0,68.65,-21.35,-18.68,-20.76
1,Nova,Antique,Factory New,Classified,Operation Phoenix Weapon Case,22.59,225.9,20.59,-205.31,-179.65,-79.53
1,Tec-9,Sandstorm,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,2.83,28.3,7.75,-20.55,-17.98,-63.53
1,AK-47,Redline,Minimal Wear,Classified,Operation Phoenix Weapon Case,173.88,1738.8,11.39,-1727.41,-1511.48,-86.93
1,P90,Trigon,Minimal Wear,Classified,Operation Phoenix Weapon Case,16.51,165.10000000000002,11.39,-153.71,-134.5,-81.47
1,Nova,Antique,Minimal Wear,Classified,Operation Phoenix Weapon Case,15.56,155.6,11.39,-144.21,-126.18,-81.09
1,Nova,Antique,Field-Tested,Classified,Operation Phoenix Weapon Case,14.18,141.8,127.51,-14.29,-12.5,-8.82
1,AK-47,Redline,Battle-Scarred,Classified,Operation Phoenix Weapon Case,20.2,202.0,68.03,-133.97,-117.22,-58.03
1,FAMAS,Sergeant,Minimal Wear,Restricted,Operation Phoenix Weapon Case,8.14,81.4,68.65,-12.75,-11.16,-13.71
1,USP-S,Guardian,Field-Tested,Restricted,Operation Phoenix Weapon Case,3.74,37.400000000000006,24.68,-12.72,-11.13,-29.76
1,Tec-9,Sandstorm,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.49,4.9,3.11,-1.79,-1.57,-32.04
0,UMP-45,Corporal,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.33,3.3000000000000003,1.67,-1.63,-1.43,-43.33
1,MAG-7,Heaven Guard,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.44,4.4,2.8,-1.6,-1.4,-31.82
1,UMP-45,Corporal,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.41,4.1,2.8,-1.3,-1.14,-27.8
0,Tec-9,Sandstorm,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.29,2.9,1.67,-1.23,-1.08,-37.24
1,Negev,Terrain,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.43,4.3,3.11,-1.19,-1.04,-24.19
1,MAG-7,Heaven Guard,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.43,4.3,3.11,-1.19,-1.04,-24.19
0,MAG-7,Heaven Guard,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.28,2.8000000000000003,1.67,-1.13,-0.99,-35.36
1,Tec-9,Sandstorm,Battle-Scarred,Mil_Spec Grade,Operation Phoenix Weapon Case,0.37,3.7,2.59,-1.11,-0.97,-26.22
1,UMP-45,Corporal,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.41,4.1,3.11,-0.99,-0.87,-21.22
0,Negev,Terrain,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.27,2.7,1.83,-0.87,-0.76,-28.15
0,Negev,Terrain,Well-Worn,Mil_Spec Grade,Operation Phoenix Weapon Case,0.25,2.5,1.67,-0.83,-0.73,-29.2
0,MAG-7,Heaven Guard,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.26,2.6,1.83,-0.77,-0.67,-25.77
0,Tec-9,Sandstorm,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.25,2.5,1.83,-0.67,-0.59,-23.6
1,MAC-10,Heat,Minimal Wear,Restricted,Operation Phoenix Weapon Case,6.93,69.3,68.65,-0.65,-0.57,-0.82
1,UMP-45,Corporal,Battle-Scarred,Mil_Spec Grade,Operation Phoenix Weapon Case,0.32,3.2,2.59,-0.61,-0.53,-16.56
1,Negev,Terrain,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,1.05,10.5,9.89,-0.61,-0.53,-5.05
0,Tec-9,Sandstorm,Battle-Scarred,Mil_Spec Grade,Operation Phoenix Weapon Case,0.21,2.1,1.53,-0.57,-0.5,-23.81
0,UMP-45,Corporal,Battle-Scarred,Mil_Spec Grade,Operation Phoenix Weapon Case,0.21,2.1,1.53,-0.57,-0.5,-23.81
1,USP-S,Guardian,Minimal Wear,Restricted,Operation Phoenix Weapon Case,6.92,69.2,68.65,-0.55,-0.48,-0.69
0,UMP-45,Corporal,Field-Tested,Mil_Spec Grade,Operation Phoenix Weapon Case,0.23,2.3000000000000003,1.83,-0.47,-0.41,-17.83
0,Negev,Terrain,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.38,3.8,3.44,-0.36,-0.32,-8.42
1,MAG-7,Heaven Guard,Factory New,Mil_Spec Grade,Operation Phoenix Weapon Case,1.02,10.2,9.89,-0.31,-0.27,-2.65
0,MAG-7,Heaven Guard,Minimal Wear,Mil_Spec Grade,Operation Phoenix Weapon Case,0.35,3.5,3.44,-0.06,-0.05,-1.43
