StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,SCAR-20,Enforcer,Well-Worn,Restricted,Prisma 2 Case,0.74,7.4,8.7,1.3,1.14,15.41
1,Sawed-Off,Apocalypto,Well-Worn,Restricted,Prisma 2 Case,0.77,7.7,8.7,1.0,0.88,11.43
1,P2000,Acid Etched,Well-Worn,Restricted,Prisma 2 Case,0.79,7.9,8.7,0.8,0.7,8.86
1,SG 553,Darkwing,Well-Worn,Restricted,Prisma 2 Case,0.8,8.0,8.7,0.7,0.61,7.62
1,CZ75-Auto,Distressed,Well-Worn,Mil_Spec Grade,Prisma 2 Case,0.12,1.2,1.36,0.16,0.14,11.67
1,MP5-SD,Desert Strike,Well-Worn,Mil_Spec Grade,Prisma 2 Case,0.13,1.3,1.36,0.06,0.05,3.85
0,MAC-10,Disco Tech,Factory New,Classified,Prisma 2 Case,18.67,186.70000000000002,73.57,-113.13,-98.99,-53.02
1,AK-47,Phantom Disruptor,Field-Tested,Classified,Prisma 2 Case,14.11,141.1,36.41,-104.69,-91.6,-64.92
1,AUG,Tom Cat,Factory New,Mil_Spec Grade,Prisma 2 Case,1.72,17.2,6.2,-11.0,-9.62,-55.93
0,Desert Eagle,Blue Ply,Factory New,Mil_Spec Grade,Prisma 2 Case,1.24,12.4,1.99,-10.41,-9.11,-73.47
1,AWP,Capillary,Factory New,Mil_Spec Grade,Prisma 2 Case,10.81,108.10000000000001,6.2,-101.9,-89.16,-82.48
1,MAG-7,Justice,Factory New,Classified,Prisma 2 Case,28.0,280.0,178.7,-101.3,-88.64,-31.66
1,AK-47,Phantom Disruptor,Battle-Scarred,Classified,Prisma 2 Case,12.46,124.60000000000001,24.79,-99.81,-87.33,-70.09
0,MAC-10,Disco Tech,Battle-Scarred,Classified,Prisma 2 Case,2.05,20.5,10.35,-10.15,-8.88,-43.32
0,MAC-10,Disco Tech,Well-Worn,Classified,Prisma 2 Case,2.56,25.6,15.7,-9.9,-8.66,-33.83
1,SSG 08,Fever Dream,Field-Tested,Restricted,Prisma 2 Case,1.74,17.4,8.38,-9.02,-7.89,-45.34
0,SSG 08,Fever Dream,Factory New,Restricted,Prisma 2 Case,2.26,22.599999999999998,14.14,-8.46,-7.4,-32.74
1,SSG 08,Fever Dream,Battle-Scarred,Restricted,Prisma 2 Case,1.44,14.399999999999999,6.48,-7.92,-6.93,-48.12
0,MAG-7,Justice,Field-Tested,Classified,Prisma 2 Case,2.52,25.2,17.42,-7.78,-6.81,-27.02
1,Desert Eagle,Blue Ply,Field-Tested,Mil_Spec Grade,Prisma 2 Case,0.87,8.7,1.1,-7.6,-6.65,-76.44
0,MAG-7,Justice,Battle-Scarred,Classified,Prisma 2 Case,1.78,17.8,10.35,-7.45,-6.52,-36.63
1,MAG-7,Justice,Battle-Scarred,Classified,Prisma 2 Case,3.21,32.1,24.79,-7.31,-6.4,-19.94
1,Desert Eagle,Blue Ply,Battle-Scarred,Mil_Spec Grade,Prisma 2 Case,0.81,8.100000000000001,0.86,-7.24,-6.33,-78.15
0,AK-47,Phantom Disruptor,Well-Worn,Classified,Prisma 2 Case,7.89,78.89999999999999,15.7,-63.2,-55.3,-70.09
1,MAC-10,Disco Tech,Minimal Wear,Classified,Prisma 2 Case,13.27,132.7,69.8,-62.9,-55.04,-41.48
1,Desert Eagle,Blue Ply,Well-Worn,Mil_Spec Grade,Prisma 2 Case,0.82,8.2,1.36,-6.84,-5.98,-72.93
0,SSG 08,Fever Dream,Well-Worn,Restricted,Prisma 2 Case,1.07,10.700000000000001,4.12,-6.58,-5.76,-53.83
0,AK-47,Phantom Disruptor,Minimal Wear,Classified,Prisma 2 Case,8.87,88.69999999999999,34.23,-54.47,-47.66,-53.73
0,AK-47,Phantom Disruptor,Factory New,Classified,Prisma 2 Case,12.62,126.19999999999999,73.57,-52.63,-46.05,-36.49
0,AK-47,Phantom Disruptor,Battle-Scarred,Classified,Prisma 2 Case,5.95,59.5,10.35,-49.15,-43.01,-72.29
1,Desert Eagle,Blue Ply,Factory New,Mil_Spec Grade,Prisma 2 Case,5.52,55.199999999999996,6.2,-49.0,-42.88,-77.68
0,AK-47,Phantom Disruptor,Field-Tested,Classified,Prisma 2 Case,6.53,65.3,17.42,-47.88,-41.9,-64.17
