StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,Sawed-Off,Kiss♥Love,Well-Worn,Classified,Recoil Case,7.62,76.2,79.59,3.39,2.97,3.9
1,M249,Downtown,Well-Worn,Restricted,Recoil Case,1.32,13.200000000000001,14.52,1.32,1.16,8.79
1,R8 Revolver,Crazy 8,Well-Worn,Restricted,Recoil Case,1.35,13.5,14.52,1.02,0.89,6.59
1,Dual Berettas,Flora Carnivora,Well-Worn,Restricted,Recoil Case,1.38,13.799999999999999,14.52,0.72,0.63,4.57
0,R8 Revolver,Crazy 8,Well-Worn,Restricted,Recoil Case,0.8,8.0,8.54,0.54,0.47,5.88
0,Dual Berettas,Flora Carnivora,Well-Worn,Restricted,Recoil Case,0.82,8.2,8.54,0.34,0.3,3.66
0,M249,Downtown,Well-Worn,Restricted,Recoil Case,0.84,8.4,8.54,0.14,0.12,1.43
1,UMP-45,Roadblock,Well-Worn,Mil_Spec Grade,Recoil Case,0.14,1.4000000000000001,1.51,0.11,0.1,7.14
0,MAC-10,Monkeyflage,Well-Worn,Mil_Spec Grade,Recoil Case,0.08,0.8,0.86,0.06,0.05,6.25
0,Negev,Drop Me,Well-Worn,Mil_Spec Grade,Recoil Case,0.08,0.8,0.86,0.06,0.05,6.25
0,UMP-45,Roadblock,Well-Worn,Mil_Spec Grade,Recoil Case,0.08,0.8,0.86,0.06,0.05,6.25
1,Negev,Drop Me,Well-Worn,Mil_Spec Grade,Recoil Case,0.15,1.5,1.51,0.01,0.01,0.67
1,Sawed-Off,Kiss♥Love,Factory New,Classified,Recoil Case,41.79,417.9,311.62,-106.28,-93.0,-22.25
0,AK-47,Ice Coaled,Well-Worn,Classified,Recoil Case,14.99,149.9,45.23,-104.67,-91.59,-61.1
0,P250,Visions,Battle-Scarred,Classified,Recoil Case,4.44,44.400000000000006,33.39,-11.01,-9.63,-21.69
1,FAMAS,Meow 36,Factory New,Mil_Spec Grade,Recoil Case,1.82,18.2,7.24,-10.96,-9.59,-52.69
0,P250,Visions,Field-Tested,Classified,Recoil Case,5.96,59.6,48.98,-10.62,-9.29,-15.59
0,Sawed-Off,Kiss♥Love,Field-Tested,Classified,Recoil Case,5.95,59.5,48.98,-10.52,-9.21,-15.48
0,AK-47,Ice Coaled,Field-Tested,Classified,Recoil Case,14.66,146.6,48.98,-97.62,-85.42,-58.27
0,Sawed-Off,Kiss♥Love,Battle-Scarred,Classified,Recoil Case,4.3,43.0,33.39,-9.61,-8.41,-19.56
1,SG 553,Dragon Tech,Minimal Wear,Restricted,Recoil Case,3.91,39.1,29.69,-9.41,-8.23,-21.05
1,SG 553,Dragon Tech,Factory New,Restricted,Recoil Case,6.79,67.9,59.63,-8.27,-7.24,-10.66
1,AK-47,Ice Coaled,Factory New,Classified,Recoil Case,100.73,1007.3000000000001,311.62,-695.68,-608.72,-60.43
1,M4A4,Poly Mag,Minimal Wear,Mil_Spec Grade,Recoil Case,1.16,11.6,3.67,-7.93,-6.94,-59.83
1,R8 Revolver,Crazy 8,Minimal Wear,Restricted,Recoil Case,3.7,37.0,29.69,-7.31,-6.4,-17.3
1,P250,Visions,Field-Tested,Classified,Recoil Case,8.83,88.3,81.15,-7.15,-6.26,-7.09
