StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,PP-Bizon,High Roller,Factory New,Classified,Spectrum 2 Case,24.7,247.0,144.47,-102.53,-89.71,-36.32
1,M4A1-S,Leaded Glass,Well-Worn,Classified,Spectrum 2 Case,13.14,131.4,32.7,-98.7,-86.36,-65.72
1,M4A1-S,Leaded Glass,Minimal Wear,Classified,Spectrum 2 Case,15.97,159.70000000000002,61.91,-97.79,-85.57,-53.58
1,R8 Revolver,Llama Cannon,Factory New,Classified,Spectrum 2 Case,22.72,227.2,144.47,-82.73,-72.39,-31.86
1,M4A1-S,Leaded Glass,Battle-Scarred,Classified,Spectrum 2 Case,10.48,104.80000000000001,28.93,-75.87,-66.39,-63.35
0,PP-Bizon,High Roller,Battle-Scarred,Classified,Spectrum 2 Case,2.08,20.8,12.81,-7.99,-6.99,-33.61
0,PP-Bizon,High Roller,Well-Worn,Classified,Spectrum 2 Case,2.17,21.7,14.29,-7.41,-6.48,-29.86
1,PP-Bizon,High Roller,Field-Tested,Classified,Spectrum 2 Case,4.68,46.8,39.48,-7.32,-6.41,-13.7
1,CZ75-Auto,Tacticat,Factory New,Restricted,Spectrum 2 Case,3.22,32.2,24.87,-7.33,-6.41,-19.91
0,R8 Revolver,Llama Cannon,Well-Worn,Classified,Spectrum 2 Case,2.16,21.6,14.29,-7.31,-6.4,-29.63
1,Sawed-Off,Morris,Factory New,Mil_Spec Grade,Spectrum 2 Case,1.02,10.2,3.04,-7.16,-6.27,-61.47
0,PP-Bizon,High Roller,Field-Tested,Classified,Spectrum 2 Case,2.38,23.799999999999997,16.86,-6.94,-6.07,-25.5
1,M4A1-S,Leaded Glass,Field-Tested,Classified,Spectrum 2 Case,10.72,107.2,39.48,-67.72,-59.25,-55.27
1,G3SG1,Hunter,Factory New,Mil_Spec Grade,Spectrum 2 Case,0.96,9.6,3.04,-6.56,-5.74,-59.79
0,R8 Revolver,Llama Cannon,Field-Tested,Classified,Spectrum 2 Case,2.31,23.1,16.86,-6.24,-5.46,-23.64
1,SG 553,Phantom,Factory New,Restricted,Spectrum 2 Case,3.11,31.099999999999998,24.87,-6.23,-5.45,-17.52
1,Glock-18,Off World,Minimal Wear,Mil_Spec Grade,Spectrum 2 Case,0.77,7.7,1.54,-6.16,-5.39,-70.0
1,R8 Revolver,Llama Cannon,Battle-Scarred,Classified,Spectrum 2 Case,3.5,35.0,28.93,-6.07,-5.31,-15.17
0,M4A1-S,Leaded Glass,Well-Worn,Classified,Spectrum 2 Case,6.73,67.30000000000001,14.29,-53.01,-46.38,-68.92
0,PP-Bizon,High Roller,Factory New,Classified,Spectrum 2 Case,10.87,108.69999999999999,60.77,-47.93,-41.94,-38.58
0,M4A1-S,Leaded Glass,Factory New,Classified,Spectrum 2 Case,10.73,107.30000000000001,60.77,-46.53,-40.71,-37.94
1,MP9,Goo,Well-Worn,Restricted,Spectrum 2 Case,1.26,12.6,6.9,-5.7,-4.99,-39.6
0,R8 Revolver,Llama Cannon,Battle-Scarred,Classified,Spectrum 2 Case,1.84,18.400000000000002,12.81,-5.59,-4.89,-26.58
0,Glock-18,Off World,Factory New,Mil_Spec Grade,Spectrum 2 Case,0.68,6.800000000000001,1.27,-5.53,-4.84,-71.18
1,R8 Revolver,Llama Cannon,Well-Worn,Classified,Spectrum 2 Case,3.82,38.199999999999996,32.7,-5.5,-4.81,-12.59
1,MP9,Goo,Minimal Wear,Restricted,Spectrum 2 Case,1.67,16.7,11.42,-5.28,-4.62,-27.66
1,MP9,Goo,Factory New,Restricted,Spectrum 2 Case,3.01,30.099999999999998,24.87,-5.23,-4.58,-15.22
1,XM1014,Ziggy,Well-Worn,Restricted,Spectrum 2 Case,1.21,12.1,6.9,-5.2,-4.55,-37.6
1,MAC-10,Oceanic,Factory New,Mil_Spec Grade,Spectrum 2 Case,0.8,8.0,3.04,-4.96,-4.34,-54.25
1,PP-Bizon,High Roller,Well-Worn,Classified,Spectrum 2 Case,3.75,37.5,32.7,-4.8,-4.2,-11.2
1,PP-Bizon,High Roller,Battle-Scarred,Classified,Spectrum 2 Case,3.35,33.5,28.93,-4.57,-4.0,-11.94
0,M4A1-S,Leaded Glass,Minimal Wear,Classified,Spectrum 2 Case,6.9,69.0,26.4,-42.6,-37.27,-54.01
0,M4A1-S,Leaded Glass,Battle-Scarred,Classified,Spectrum 2 Case,5.21,52.1,12.81,-39.29,-34.38,-65.99
1,Glock-18,Off World,Factory New,Mil_Spec Grade,Spectrum 2 Case,4.01,40.099999999999994,3.04,-37.06,-32.43,-80.87
0,M4A1-S,Leaded Glass,Field-Tested,Classified,Spectrum 2 Case,5.23,52.300000000000004,16.86,-35.44,-31.01,-59.29
1,PP-Bizon,High Roller,Minimal Wear,Classified,Spectrum 2 Case,9.63,96.30000000000001,61.91,-34.39,-30.09,-31.25
1,XM1014,Ziggy,Factory New,Restricted,Spectrum 2 Case,2.93,29.3,24.87,-4.43,-3.88,-13.24
1,UMP-45,Exposure,Factory New,Restricted,Spectrum 2 Case,2.92,29.2,24.87,-4.33,-3.79,-12.98
1,CZ75-Auto,Tacticat,Minimal Wear,Restricted,Spectrum 2 Case,1.57,15.700000000000001,11.42,-4.28,-3.75,-23.89
1,UMP-45,Exposure,Battle-Scarred,Restricted,Spectrum 2 Case,0.99,9.9,5.78,-4.12,-3.6,-36.36
1,R8 Revolver,Llama Cannon,Field-Tested,Classified,Spectrum 2 Case,4.35,43.5,39.48,-4.02,-3.52,-8.09
1,CZ75-Auto,Tacticat,Well-Worn,Restricted,Spectrum 2 Case,1.09,10.9,6.9,-4.0,-3.5,-32.11
1,UMP-45,Exposure,Well-Worn,Restricted,Spectrum 2 Case,1.09,10.9,6.9,-4.0,-3.5,-32.11
1,UMP-45,Exposure,Minimal Wear,Restricted,Spectrum 2 Case,1.53,15.3,11.42,-3.88,-3.4,-22.22
0,AUG,Triqua,Factory New,Mil_Spec Grade,Spectrum 2 Case,0.51,5.1,1.27,-3.83,-3.35,-65.69
