StatTrak,Weapon,Skin,Wear,Rarity,Case,Individual Cost,Trade Up Cost,Profit,Net Profit,Net Profit After Steam Cut,ROI %
1,AUG,Bengal Tiger,Battle-Scarred,Classified,eSports 2014 Winter Case,7.47,74.7,nan,nan,nan,nan
1,Nova,Bloomstick,Battle-Scarred,Classified,eSports 2014 Winter Case,8.75,87.5,nan,nan,nan,nan
1,MP7,Ocean Foam,Factory New,Restricted,eSports 2014 Winter Case,6.71,67.1,109.43,42.33,37.04,55.2
1,Glock-18,Steel Disruption,Factory New,Restricted,eSports 2014 Winter Case,7.36,73.60000000000001,109.43,35.83,31.35,42.6
0,MP7,Ocean Foam,Factory New,Restricted,eSports 2014 Winter Case,3.1,31.0,32.3,1.3,1.14,3.68
0,Glock-18,Steel Disruption,Factory New,Restricted,eSports 2014 Winter Case,3.18,31.8,32.3,0.5,0.44,1.38
1,Desert Eagle,Crimson Web,Battle-Scarred,Restricted,eSports 2014 Winter Case,12.09,120.9,8.11,-112.79,-98.69,-81.63
1,AUG,Bengal Tiger,Minimal Wear,Classified,eSports 2014 Winter Case,20.14,201.4,91.37,-110.03,-96.28,-47.81
0,Nova,Bloomstick,Minimal Wear,Classified,eSports 2014 Winter Case,13.66,136.6,29.7,-106.9,-93.54,-68.48
1,P90,Virus,Minimal Wear,Restricted,eSports 2014 Winter Case,3.61,36.1,24.76,-11.34,-9.92,-27.48
0,MAC-10,Ultraviolet,Battle-Scarred,Mil_Spec Grade,eSports 2014 Winter Case,1.36,13.600000000000001,2.68,-10.92,-9.55,-70.22
1,XM1014,Red Python,Minimal Wear,Mil_Spec Grade,eSports 2014 Winter Case,2.61,26.099999999999998,15.22,-10.88,-9.52,-36.48
0,MAC-10,Ultraviolet,Well-Worn,Mil_Spec Grade,eSports 2014 Winter Case,1.39,13.899999999999999,3.05,-10.85,-9.49,-68.27
0,MAC-10,Ultraviolet,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.38,13.799999999999999,3.19,-10.61,-9.28,-67.25
0,SSG 08,Dark Water,Minimal Wear,Mil_Spec Grade,eSports 2014 Winter Case,1.73,17.3,7.02,-10.28,-8.99,-51.97
0,SSG 08,Dark Water,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.34,13.4,3.19,-10.21,-8.93,-66.64
1,P90,Virus,Well-Worn,Restricted,eSports 2014 Winter Case,1.81,18.1,7.92,-10.18,-8.91,-49.23
1,MAC-10,Ultraviolet,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.58,15.8,6.05,-9.75,-8.53,-53.99
0,P90,Virus,Factory New,Restricted,eSports 2014 Winter Case,4.19,41.900000000000006,32.3,-9.6,-8.4,-20.05
0,Negev,Bratatat,Minimal Wear,Mil_Spec Grade,eSports 2014 Winter Case,1.66,16.599999999999998,7.02,-9.58,-8.38,-50.48
0,P90,Virus,Minimal Wear,Restricted,eSports 2014 Winter Case,2.07,20.7,11.45,-9.25,-8.09,-39.08
1,Negev,Bratatat,Factory New,Mil_Spec Grade,eSports 2014 Winter Case,16.06,160.6,70.27,-90.33,-79.04,-49.22
0,Desert Eagle,Crimson Web,Factory New,Restricted,eSports 2014 Winter Case,87.82,878.1999999999999,32.3,-845.9,-740.16,-84.28
1,PP-Bizon,Blue Streak,Factory New,Restricted,eSports 2014 Winter Case,19.05,190.5,109.43,-81.07,-70.94,-37.24
0,CZ75-Auto,Hexane,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.22,12.2,3.19,-9.01,-7.88,-64.59
0,CZ75-Auto,Hexane,Minimal Wear,Mil_Spec Grade,eSports 2014 Winter Case,1.59,15.9,7.02,-8.88,-7.77,-48.87
1,MAC-10,Ultraviolet,Well-Worn,Mil_Spec Grade,eSports 2014 Winter Case,1.41,14.1,5.36,-8.74,-7.65,-54.26
1,Negev,Bratatat,Well-Worn,Mil_Spec Grade,eSports 2014 Winter Case,1.37,13.700000000000001,5.36,-8.34,-7.3,-53.28
0,P90,Virus,Battle-Scarred,Restricted,eSports 2014 Winter Case,1.29,12.9,4.58,-8.32,-7.28,-56.43
0,XM1014,Red Python,Minimal Wear,Mil_Spec Grade,eSports 2014 Winter Case,1.53,15.3,7.02,-8.28,-7.24,-47.32
0,P90,Virus,Well-Worn,Restricted,eSports 2014 Winter Case,1.24,12.4,4.17,-8.23,-7.2,-58.06
0,PP-Bizon,Blue Streak,Well-Worn,Restricted,eSports 2014 Winter Case,1.24,12.4,4.17,-8.23,-7.2,-58.06
1,P90,Virus,Field-Tested,Restricted,eSports 2014 Winter Case,2.25,22.5,14.36,-8.14,-7.12,-31.64
1,Negev,Bratatat,Battle-Scarred,Mil_Spec Grade,eSports 2014 Winter Case,1.32,13.200000000000001,5.08,-8.12,-7.1,-53.79
1,MAC-10,Ultraviolet,Battle-Scarred,Mil_Spec Grade,eSports 2014 Winter Case,1.3,13.0,5.08,-7.92,-6.93,-53.31
0,PP-Bizon,Blue Streak,Field-Tested,Restricted,eSports 2014 Winter Case,1.52,15.2,7.3,-7.9,-6.91,-45.46
1,P90,Virus,Battle-Scarred,Restricted,eSports 2014 Winter Case,1.6,16.0,8.11,-7.89,-6.9,-43.12
0,Negev,Bratatat,Well-Worn,Mil_Spec Grade,eSports 2014 Winter Case,1.09,10.9,3.05,-7.85,-6.87,-63.03
0,P90,Virus,Field-Tested,Restricted,eSports 2014 Winter Case,1.51,15.1,7.3,-7.8,-6.83,-45.23
0,CZ75-Auto,Hexane,Well-Worn,Mil_Spec Grade,eSports 2014 Winter Case,1.08,10.8,3.05,-7.75,-6.78,-62.78
0,XM1014,Red Python,Battle-Scarred,Mil_Spec Grade,eSports 2014 Winter Case,1.04,10.4,2.68,-7.72,-6.75,-64.9
0,XM1014,Red Python,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.09,10.9,3.19,-7.71,-6.75,-61.93
0,Negev,Bratatat,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.08,10.8,3.19,-7.61,-6.66,-61.67
1,XM1014,Red Python,Field-Tested,Mil_Spec Grade,eSports 2014 Winter Case,1.35,13.5,6.05,-7.45,-6.52,-48.3
1,PP-Bizon,Blue Streak,Battle-Scarred,Restricted,eSports 2014 Winter Case,1.54,15.4,8.11,-7.29,-6.38,-41.43
