Name,Case,Skin,Rarity
AK-47,Chroma 2 Case,Elite Build,Mil_Spec Grade
MP7,Chroma 2 Case,Armor Core,Mil_Spec Grade
Desert Eagle,Chroma 2 Case,Bronze Deco,Mil_Spec Grade
P250,Chroma 2 Case,Valence,Mil_Spec Grade
Negev,Chroma 2 Case,Man-o'-war,Mil_Spec Grade
Sawed-Off,Chroma 2 Case,Origami,Mil_Spec Grade
AWP,Chroma 2 Case,Worm God,Restricted
MAG-7,Chroma 2 Case,Heat,Restricted
CZ75-Auto,Chroma 2 Case,Pole Position,Restricted
UMP-45,Chroma 2 Case,Grand Prix,Restricted
Five-SeveN,Chroma 2 Case,Monkey Business,Classified
Galil AR,Chroma 2 Case,Eco,Classified
FAMAS,Chroma 2 Case,Djinn,Classified
M4A1-S,Chroma 2 Case,Hyper Beast,Covert
MAC-10,Chroma 2 Case,Neon Rider,Covert
Knife,Chroma 2 Case,Knife,Exceedingly Rare
Dual Berettas,Chroma 3 Case,Ventilators,Mil_Spec Grade
G3SG1,Chroma 3 Case,Orange Crash,Mil_Spec Grade
M249,Chroma 3 Case,Spectre,Mil_Spec Grade
MP9,Chroma 3 Case,Bioleak,Mil_Spec Grade
P2000,Chroma 3 Case,Oceanic,Mil_Spec Grade
Sawed-Off,Chroma 3 Case,Fubar,Mil_Spec Grade
SG 553,Chroma 3 Case,Atlas,Mil_Spec Grade
CZ75-Auto,Chroma 3 Case,Red Astor,Restricted
Galil AR,Chroma 3 Case,Firefight,Restricted
SSG 08,Chroma 3 Case,Ghost Crusader,Restricted
Tec-9,Chroma 3 Case,Re-Entry,Restricted
XM1014,Chroma 3 Case,Black Tie,Restricted
AUG,Chroma 3 Case,Fleet Flock,Classified
P250,Chroma 3 Case,Asiimov,Classified
UMP-45,Chroma 3 Case,Primal Saber,Classified
PP-Bizon,Chroma 3 Case,Judgement of Anubis,Covert
M4A1-S,Chroma 3 Case,Chantico's Fire,Covert
Knife,Chroma 3 Case,Knife,Exceedingly Rare
Glock-18,Chroma Case,Catacombs,Mil_Spec Grade
