Name,Case,Skin,Rarity
CZ75-Auto,CSGO Weapon Case 3,Crimson Web,Mil_Spec Grade
P2000,CSGO Weapon Case 3,Red FragCam,Mil_Spec Grade
Dual Berettas,CSGO Weapon Case 3,Panther,Mil_Spec Grade
USP-S,CSGO Weapon Case 3,Stainless,Mil_Spec Grade
Glock-18,CSGO Weapon Case 3,Blue Fissure,Mil_Spec Grade
CZ75-Auto,CSGO Weapon Case 3,Tread Plate,Restricted
Tec-9,CSGO Weapon Case 3,Titanium Bit,Restricted
Desert Eagle,CSGO Weapon Case 3,Heirloom,Restricted
Five-SeveN,CSGO Weapon Case 3,Copper Galaxy,Restricted
CZ75-Auto,CSGO Weapon Case 3,The Fuschia Is Now,Classified
P250,CSGO Weapon Case 3,Undertow,Classified
CZ75-Auto,CSGO Weapon Case 3,Victoria,Covert
Knife,CSGO Weapon Case 3,Knife,Exceedingly Rare
