Name,Case,Skin,Rarity
AK-47,Chroma 2 Case,Elite Build,Mil_Spec Grade
MP7,Chroma 2 Case,Armor Core,Mil_Spec Grade
Desert Eagle,Chroma 2 Case,Bronze Deco,Mil_Spec Grade
P250,Chroma 2 Case,Valence,Mil_Spec Grade
Negev,Chroma 2 Case,Man-o'-war,Mil_Spec Grade
Sawed-Off,Chroma 2 Case,Origami,Mil_Spec Grade
AWP,Chroma 2 Case,Worm God,Restricted
MAG-7,Chroma 2 Case,Heat,Restricted
CZ75-Auto,Chroma 2 Case,Pole Position,Restricted
UMP-45,Chroma 2 Case,Grand Prix,Restricted
Five-SeveN,Chroma 2 Case,Monkey Business,Classified
Galil AR,Chroma 2 Case,Eco,Classified
FAMAS,Chroma 2 Case,Djinn,Classified
M4A1-S,Chroma 2 Case,Hyper Beast,Covert
MAC-10,Chroma 2 Case,Neon Rider,Covert
Knife,Chroma 2 Case,Knife,Exceedingly Rare
