Name,Case,Skin,Rarity
Glock-18,Chroma Case,Catacombs,Mil_Spec Grade
M249,Chroma Case,System Lock,Mil_Spec Grade
MP9,Chroma Case,Deadly Poison,Mil_Spec Grade
SCAR-20,Chroma Case,Grotto,Mil_Spec Grade
XM1014,Chroma Case,Quicksilver,Mil_Spec Grade
Dual Berettas,Chroma Case,Urban Shock,Restricted
Desert Eagle,Chroma Case,Naga,Restricted
MAC-10,Chroma Case,Malachite,Restricted
Sawed-Off,Chroma Case,Serenity,Restricted
AK-47,Chroma Case,Cartel,Classified
M4A4,Chroma Case,龍王 (Dragon King),Classified
P250,Chroma Case,Muertos,Classified
AWP,Chroma Case,Man-o'-war,Covert
Galil AR,Chroma Case,Chatterbox,Covert
Knife,Chroma Case,Knife,Exceedingly Rare
