Name,Case,Skin,Rarity
PP-Bizon,Clutch Case,Night Riot,Mil_Spec Grade
Five-SeveN,Clutch Case,Flame Test,Mil_Spec Grade
MP9,Clutch Case,Black Sand,Mil_Spec Grade
P2000,Clutch Case,Urban Hazard,Mil_Spec Grade
R8 Revolver,Clutch Case,Grip,Mil_Spec Grade
SG 553,Clutch Case,Aloha,Mil_Spec Grade
XM1014,Clutch Case,Oxide Blaze,Mil_Spec Grade
Glock-18,Clutch Case,Moonrise,Restricted
Negev,Clutch Case,Lionfish,Restricted
Nova,Clutch Case,Wild Six,Restricted
MAG-7,Clutch Case,SWAG-7,Restricted
UMP-45,Clutch Case,Arctic Wolf,Restricted
AUG,Clutch Case,Stymphalian,Classified
AWP,Clutch Case,Mortis,Classified
USP-S,Clutch Case,Cortex,Classified
M4A4,Clutch Case,Neo-Noir,Covert
MP7,Clutch Case,Bloodsport,Covert
Gloves,Clutch Case,Gloves,Exceedingly Rare
