Name,Case,Skin,Rarity
CZ75-Auto,Gamma 2 Case,Imprint,Mil_Spec Grade
Five-SeveN,Gamma 2 Case,Scumbria,Mil_Spec Grade
G3SG1,Gamma 2 Case,Ventilator,Mil_Spec Grade
Negev,Gamma 2 Case,Dazzle,Mil_Spec Grade
P90,Gamma 2 Case,Grim,Mil_Spec Grade
UMP-45,Gamma 2 Case,Briefing,Mil_Spec Grade
XM1014,Gamma 2 Case,Slipstream,Mil_Spec Grade
Desert Eagle,Gamma 2 Case,Directive,Restricted
Glock-18,Gamma 2 Case,Weasel,Restricted
MAG-7,Gamma 2 Case,Petroglyph,Restricted
SCAR-20,Gamma 2 Case,Powercore,Restricted
SG 553,Gamma 2 Case,Triarch,Restricted
AUG,Gamma 2 Case,Syd Mead,Classified
MP9,Gamma 2 Case,Airlock,Classified
Tec-9,Gamma 2 Case,Fuel Injector,Classified
AK-47,Gamma 2 Case,Neon Revolution,Covert
FAMAS,Gamma 2 Case,Roll Cage,Covert
Knife,Gamma 2 Case,Knife,Exceedingly Rare
