Name,Case,Skin,Rarity
Five-SeveN,Gamma Case,Violent Daimyo,Mil_Spec Grade
MAC-10,Gamma Case,Carnivore,Mil_Spec Grade
Nova,Gamma Case,Exo,Mil_Spec Grade
P250,Gamma Case,Iron Clad,Mil_Spec Grade
PP-Bizon,Gamma Case,Harvester,Mil_Spec Grade
SG 553,Gamma Case,Aerial,Mil_Spec Grade
Tec-9,Gamma Case,Ice Cap,Mil_Spec Grade
AUG,Gamma Case,Aristocrat,Restricted
AWP,Gamma Case,Phobos,Restricted
P90,Gamma Case,Chopper,Restricted
R8 Revolver,Gamma Case,Reboot,Restricted
Sawed-Off,Gamma Case,Limelight,Restricted
M4A4,Gamma Case,Desolate Space,Classified
P2000,Gamma Case,Imperial Dragon,Classified
SCAR-20,Gamma Case,Bloodsport,Classified
Glock-18,Gamma Case,Wasteland Rebel,Covert
M4A1-S,Gamma Case,Mecha Industries,Covert
Knife,Gamma Case,Knife,Exceedingly Rare
