Name,Case,Skin,Rarity
FAMAS,Prisma Case,Crypsis,Mil_Spec Grade
AK-47,Prisma Case,Uncharted,Mil_Spec Grade
MAC-10,Prisma Case,Whitefish,Mil_Spec Grade
Galil AR,Prisma Case,Akoben,Mil_Spec Grade
MP7,Prisma Case,Mischief,Mil_Spec Grade
P250,Prisma Case,Verdigris,Mil_Spec Grade
P90,Prisma Case,Off World,Mil_Spec Grade
AWP,Prisma Case,Atheris,Restricted
Tec-9,Prisma Case,Bamboozle,Restricted
Desert Eagle,Prisma Case,Light Rail,Restricted
MP5-SD,Prisma Case,Gauss,Restricted
UMP-45,Prisma Case,Moonrise,Restricted
R8 Revolver,Prisma Case,Skull Crusher,Classified
AUG,Prisma Case,Momentum,Classified
XM1014,Prisma Case,Incinegator,Classified
Five-SeveN,Prisma Case,Angry Mob,Covert
M4A4,Prisma Case,The Emperor,Covert
Knife,Prisma Case,Knife,Exceedingly Rare
