Name,Case,Skin,Rarity
Dual Berettas,Shadow Case,Dualing Dragons,Mil_Spec Grade
FAMAS,Shadow Case,Survivor Z,Mil_Spec Grade
Glock-18,Shadow Case,Wraiths,Mil_Spec Grade
MAC-10,Shadow Case,Rangeen,Mil_Spec Grade
MAG-7,Shadow Case,Cobalt Core,Mil_Spec Grade
SCAR-20,Shadow Case,Green Marine,Mil_Spec Grade
XM1014,Shadow Case,Scumbria,Mil_Spec Grade
Galil AR,Shadow Case,Stone Cold,Restricted
M249,Shadow Case,Nebula Crusader,Restricted
MP7,Shadow Case,Special Delivery,Restricted
P250,Shadow Case,Wingshot,Restricted
AK-47,Shadow Case,Frontside Misty,Classified
G3SG1,Shadow Case,Flux,Classified
SSG 08,Shadow Case,Big Iron,Classified
M4A1-S,Shadow Case,Golden Coil,Covert
USP-S,Shadow Case,Kill Confirmed,Covert
Knife,Shadow Case,Knife,Exceedingly Rare
