Name,Case,Skin,Rarity
Galil AR,eSports 2013 Winter Case,Blue Titanium,Mil_Spec Grade
Five-SeveN,eSports 2013 Winter Case,Nightshade,Mil_Spec Grade
PP-Bizon,eSports 2013 Winter Case,Water Sigil,Mil_Spec Grade
Nova,eSports 2013 Winter Case,Ghost Camo,Mil_Spec Grade
G3SG1,eSports 2013 Winter Case,Azure Zebra,Mil_Spec Grade
P250,eSports 2013 Winter Case,Steel Disruption,Mil_Spec Grade
AK-47,eSports 2013 Winter Case,Blue Laminate,Restricted
P90,eSports 2013 Winter Case,Blind Spot,Restricted
FAMAS,eSports 2013 Winter Case,Afterimage,Classified
AWP,eSports 2013 Winter Case,Electric Hive,Classified
Desert Eagle,eSports 2013 Winter Case,Cobalt Disruption,Classified
M4A4,eSports 2013 Winter Case,X-Ray,Covert
Knife,eSports 2013 Winter Case,Knife,Exceedingly Rare
