weaponName,skinName,caseName,wearName,rarityName,StatTrak,nameID,market_name,market_hash_name,border_color,image,latest,min,avg,max,mean,median,unstable,unstable_reason,first_seen
Tec-9,Avalanche,Revolver Case,Battle-Scarred,Restricted,0,84444516,Tec-9 | Avalanche (Battle-Scarred),Tec-9 | Avalanche (Battle-Scarred),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b092glYyKmfT8NoTZk2pH8Yty2-jAo9ui3gzi_EdrYzugJ4bDIwE_MAuB-1i7lL3s05W5vMvNmnRhpGB8ss2DXgSn,0.65,0.51,0.72,1.16,0.72,0.7195,False,False,1449619200000
Tec-9,Avalanche,Revolver Case,Factory New,Restricted,0,84454644,Tec-9 | Avalanche (Factory New),Tec-9 | Avalanche (Factory New),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b092glYyKmfT8NoTdn2xZ_It0iL-Wp9r02gDk80c-NWylJ9WdIQ5tZliDrlnrkO3ogZS57ZrJwSdgpGB8sqmt10R9,3.42,1.0,3.27,10.65,3.31,3.54,False,False,1449619200000
Tec-9,Avalanche,Revolver Case,Field-Tested,Restricted,0,84444545,Tec-9 | Avalanche (Field-Tested),Tec-9 | Avalanche (Field-Tested),#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b092glYyKmfT8NoTck29Y_cg_3O_H8Ir3jAG1rhJrYG_0LY-UJAM7MFyBrlC5wbzv1MC07ZWdyyA1uT5iuyixUt82gw,0.94,0.75,0.96,1.09,0.96,0.9625,False,False,1449619200000
Tec-9,Avalanche,Revolver Case,Minimal Wear,Restricted,0,84444483,Tec-9 | Avalanche (Minimal Wear),Tec-9 | Avalanche (Minimal Wear),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b092glYyKmfT8NoTdn2xZ_It0iL-Wp9r02gDk80c-NWylJ9WdIQ5tZliDrlnrkO3ogZS57ZrJwSdgpGB8sqmt10R9,1.48,1.01,1.76,2.36,1.74,1.81,False,False,1449619200000
Tec-9,Avalanche,Revolver Case,Well-Worn,Restricted,0,84454624,Tec-9 | Avalanche (Well-Worn),Tec-9 | Avalanche (Well-Worn),#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b092glYyKmfT8NoTck29Y_cg_3O_H8Ir3jAG1rhJrYG_0LY-UJAM7MFyBrlC5wbzv1MC07ZWdyyA1uT5iuyixUt82gw,0.72,0.56,0.75,0.83,0.75,0.7585,False,False,1449619200000
Tec-9,Bamboozle,Prisma Case,Battle-Scarred,Restricted,0,176042605,Tec-9 | Bamboozle (Battle-Scarred),Tec-9 | Bamboozle (Battle-Scarred),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b0963mYKEmMj8NrrHjyUAuJcojLyS9t-m0FXj_RFkZW_2ddPGew4_Yw3T-Vm2l-vvhcTo7snK1zI97eWIhDqI,0.43,0.32,0.4,0.45,0.4,0.4,False,False,1552521600000
Tec-9,Bamboozle,Prisma Case,Factory New,Restricted,0,176042544,Tec-9 | Bamboozle (Factory New),Tec-9 | Bamboozle (Factory New),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b0963mYKEmMj4OrzZgiUDvMEp07GX9tikjgfg_xdkMGimLYeTdVc3Yl2D_QO3werogJHqtJic1zI97SuSa_L0,1.4,0.98,1.51,3.99,1.5,1.53,False,False,1552521600000
Tec-9,Bamboozle,Prisma Case,Field-Tested,Restricted,0,176042534,Tec-9 | Bamboozle (Field-Tested),Tec-9 | Bamboozle (Field-Tested),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b0963mYKEmMj5Nr_Yg2YfucRz0ujHoY2k2gLmqkNvZm_wJ4aQJgc7ZQzZ_QO2xufph8S878idymwj5HcTimyxcg,0.55,0.44,0.55,0.63,0.54,0.55,False,False,1552521600000
Tec-9,Bamboozle,Prisma Case,Minimal Wear,Restricted,0,176042585,Tec-9 | Bamboozle (Minimal Wear),Tec-9 | Bamboozle (Minimal Wear),#D2D2D2,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b0963mYKEmMj4OrzZgiUDvMEp07GX9tikjgfg_xdkMGimLYeTdVc3Yl2D_QO3werogJHqtJic1zI97SuSa_L0,0.79,0.57,0.8,0.91,0.79,0.786,False,False,1552521600000
Tec-9,Bamboozle,Prisma Case,Well-Worn,Restricted,0,176042588,Tec-9 | Bamboozle (Well-Worn),Tec-9 | Bamboozle (Well-Worn),#D2D2D2,https://steamcommunity-a.akamaihd.net/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoor-mcjhjxszcdD4b0963mYKEmMj5Nr_Yg2YfucRz0ujHoY2k2gLmqkNvZm_wJ4aQJgc7ZQzZ_QO2xufph8S878idymwj5HcTimyxcg,0.48,0.36,0.49,0.58,0.49,0.505,False,False,1552521600000
