Float Value,Mil-Spec,Restricted,Classified
0.0,15.01,99.89,822.0
0.001,15.01,99.89,822.0
0.002,15.01,99.89,822.0
0.003,15.01,99.89,822.0
0.004,15.01,99.89,822.0
0.005,15.01,99.89,822.0
0.006,15.01,99.89,822.0
0.007,15.01,99.89,822.0
0.008,15.01,99.89,822.0
0.009,15.01,99.89,822.0
0.01,15.01,99.89,822.0
0.011,15.01,99.89,822.0
0.012,15.01,99.89,822.0
0.013,15.01,99.89,822.0
0.014,15.01,99.89,822.0
0.015,15.01,99.89,822.0
0.016,15.01,99.89,822.0
0.017,15.01,99.89,822.0
0.018,15.01,99.89,822.0
0.019,15.01,99.89,822.0
0.02,15.01,99.89,822.0
0.021,15.01,99.89,822.0
0.022,15.01,99.89,822.0
0.023,15.01,99.89,822.0
0.024,15.01,99.89,822.0
0.025,15.01,99.89,822.0
0.026,15.01,99.89,822.0
0.027,15.01,99.89,822.0
0.028,15.01,99.89,822.0
0.029,15.01,99.89,822.0
0.03,15.01,99.89,822.0
0.031,15.01,99.89,822.0
0.032,15.01,99.89,822.0
0.033,15.01,99.89,822.0
0.034,15.01,99.89,822.0
0.035,15.01,99.89,822.0
0.036,15.01,99.89,822.0
0.037,15.01,99.89,822.0
0.038,15.01,99.89,822.0
0.039,15.01,99.89,822.0
0.04,15.01,99.89,822.0
0.041,15.01,99.89,822.0
0.042,15.01,99.89,822.0
0.043,15.01,99.89,822.0
0.044,15.01,99.89,822.0
0.045,15.01,99.89,822.0
0.046,15.01,99.89,822.0
0.047,15.01,99.89,822.0
0.048,15.01,99.89,822.0
0.049,15.01,99.89,822.0
0.05,15.01,99.89,822.0
0.051,15.01,99.89,822.0
0.052,15.01,99.89,822.0
0.053,15.01,99.89,822.0
0.054,15.01,99.89,822.0
0.055,15.01,99.89,822.0
0.056,15.01,99.89,822.0
0.057,15.01,99.89,822.0
0.058,15.01,99.89,822.0
0.059,15.01,99.89,822.0
0.06,15.01,99.89,822.0
0.061,15.01,99.89,822.0
0.062,15.01,99.89,822.0
0.063,15.01,99.89,822.0
0.064,15.01,99.89,822.0
0.065,15.01,99.89,822.0
0.066,15.01,99.89,822.0
0.067,15.01,99.89,822.0
0.068,15.01,99.89,822.0
0.069,15.01,99.89,822.0
0.07,13.28,69.92,624.5
0.071,13.28,69.92,624.5
0.072,13.28,69.92,624.5
0.073,13.28,69.92,624.5
0.074,13.28,69.92,624.5
0.075,13.28,69.92,624.5
0.076,13.28,69.92,624.5
0.077,13.28,69.92,624.5
0.078,13.28,69.92,624.5
0.079,13.28,69.92,624.5
0.08,13.28,69.92,624.5
0.081,13.28,69.92,624.5
0.082,13.28,69.92,624.5
0.083,13.28,69.92,624.5
0.084,13.28,69.92,624.5
0.085,13.28,69.92,624.5
0.086,13.28,69.92,624.5
0.087,13.28,69.92,624.5
0.088,9.92,69.92,343.81
0.089,9.92,69.92,343.81
0.09,9.92,69.92,343.81
0.091,9.92,69.92,343.81
0.092,9.92,69.92,343.81
0.093,9.92,69.92,343.81
0.094,8.58,69.92,343.81
0.095,8.58,69.92,343.81
0.096,8.58,69.92,343.81
0.097,8.58,69.92,343.81
0.098,8.58,69.92,343.81
0.099,8.58,69.92,343.81
0.1,8.58,46.99,343.81
0.101,8.58,46.99,343.81
0.102,8.58,46.99,343.81
0.103,8.58,46.99,343.81
0.104,8.58,46.99,343.81
0.105,8.58,46.99,343.81
0.106,8.58,46.99,343.81
0.107,8.58,46.99,343.81
0.108,8.58,46.99,343.81
0.109,8.58,46.99,343.81
0.11,8.58,46.99,343.81
0.111,8.58,46.99,343.81
0.112,8.58,46.99,343.81
0.113,8.58,46.99,343.81
0.114,8.58,46.99,343.81
0.115,8.58,46.99,343.81
0.116,8.58,46.99,343.81
0.117,7.77,46.99,343.81
0.118,7.77,46.99,343.81
0.119,7.77,46.99,343.81
0.12,7.77,46.99,343.81
0.121,7.77,46.99,343.81
0.122,7.77,46.99,343.81
0.123,7.77,46.99,343.81
0.124,7.77,46.99,343.81
0.125,7.77,46.99,343.81
0.126,7.77,46.99,343.81
0.127,7.77,46.99,343.81
0.128,7.77,46.99,343.81
0.129,7.77,46.99,343.81
0.13,7.77,46.99,343.81
0.131,7.77,46.99,343.81
0.132,7.77,46.99,343.81
0.133,7.77,46.99,343.81
0.134,7.77,46.99,343.81
0.135,7.77,46.99,343.81
0.136,7.77,46.99,343.81
0.137,7.77,46.99,343.81
0.138,7.77,46.99,343.81
0.139,7.77,46.99,343.81
0.14,7.77,46.99,343.81
0.141,7.77,46.99,343.81
0.142,7.77,46.99,343.81
0.143,7.77,46.99,343.81
0.144,7.77,46.99,343.81
0.145,7.77,46.99,343.81
0.146,7.77,46.99,343.81
0.147,7.77,46.99,343.81
0.148,7.77,46.99,343.81
0.149,7.77,46.99,343.81
0.15,7.14,33.25,272.42
0.151,7.14,33.25,272.42
0.152,7.14,33.25,272.42
0.153,7.14,33.25,272.42
0.154,7.14,33.25,272.42
0.155,7.14,33.25,272.42
0.156,7.14,33.25,272.42
0.157,7.14,33.25,272.42
0.158,7.14,33.25,272.42
0.159,7.14,33.25,272.42
0.16,7.14,33.25,272.42
0.161,7.14,33.25,272.42
0.162,7.14,33.25,272.42
0.163,7.14,33.25,272.42
0.164,7.14,33.25,272.42
0.165,7.14,33.25,272.42
0.166,7.14,33.25,272.42
0.167,7.14,33.25,272.42
0.168,7.14,33.25,272.42
0.169,7.14,33.25,272.42
0.17,7.14,33.25,272.42
0.171,7.14,33.25,272.42
0.172,7.14,33.25,272.42
0.173,7.14,33.25,272.42
0.174,7.14,33.25,272.42
0.175,7.14,33.25,272.42
0.176,7.14,33.25,272.42
0.177,7.14,33.25,272.42
0.178,7.14,33.25,272.42
0.179,7.14,33.25,272.42
0.18,7.14,33.25,272.42
0.181,7.14,33.25,272.42
0.182,7.14,33.25,272.42
0.183,7.14,33.25,272.42
0.184,7.14,33.25,272.42
0.185,7.14,33.25,272.42
0.186,7.14,33.25,272.42
0.187,7.14,33.25,272.42
0.188,5.92,33.25,126.11
0.189,5.92,33.25,126.11
0.19,5.92,33.25,126.11
0.191,5.92,33.25,126.11
0.192,5.92,33.25,126.11
0.193,5.92,33.25,126.11
0.194,5.92,33.25,126.11
0.195,5.92,33.25,126.11
0.196,5.92,33.25,126.11
0.197,5.92,33.25,126.11
0.198,5.92,33.25,126.11
0.199,5.92,33.25,126.11
0.2,5.0,33.25,126.11
0.201,5.0,33.25,126.11
0.202,5.0,33.25,126.11
0.203,5.0,33.25,126.11
0.204,5.0,33.25,126.11
0.205,5.0,33.25,126.11
0.206,5.0,33.25,126.11
0.207,5.0,33.25,126.11
0.208,5.0,33.25,126.11
0.209,5.0,33.25,126.11
0.21,5.0,33.25,126.11
0.211,5.0,33.25,126.11
0.212,5.0,33.25,126.11
0.213,5.0,33.25,126.11
0.214,5.0,33.25,126.11
0.215,5.0,20.84,126.11
0.216,5.0,20.84,126.11
0.217,5.0,20.84,126.11
0.218,5.0,20.84,126.11
0.219,5.0,20.84,126.11
0.22,5.0,20.84,126.11
0.221,5.0,20.84,126.11
0.222,5.0,20.84,126.11
0.223,5.0,20.84,126.11
0.224,5.0,20.84,126.11
0.225,5.0,20.84,126.11
0.226,5.0,20.84,126.11
0.227,5.0,20.84,126.11
0.228,5.0,20.84,126.11
0.229,5.0,20.84,126.11
0.23,5.0,20.84,126.11
0.231,5.0,20.84,126.11
0.232,5.0,20.84,126.11
0.233,5.0,20.84,126.11
0.234,5.0,20.84,126.11
0.235,5.0,20.84,126.11
0.236,5.0,20.84,126.11
