Name,Case,Skin,Rarity
CZ75-Auto,Glove Case,Polymer,Mil_Spec Grade
Glock-18,Glove Case,Ironwork,Mil_Spec Grade
MP7,Glove Case,Cirrus,Mil_Spec Grade
Galil AR,Glove Case,Black Sand,Mil_Spec Grade
MP9,Glove Case,Sand Scale,Mil_Spec Grade
MAG-7,Glove Case,Sonar,Mil_Spec Grade
P2000,Glove Case,Turf,Mil_Spec Grade
Dual Berettas,Glove Case,Royal Consorts,Restricted
G3SG1,Glove Case,Stinger,Restricted
M4A1-S,Glove Case,Flashback,Restricted
Nova,Glove Case,Gila,Restricted
USP-S,Glove Case,Cyrex,Restricted
FAMAS,Glove Case,Mecha Industries,Classified
P90,Glove Case,Shallow Grave,Classified
Sawed-Off,Glove Case,Wasteland Princess,Classified
SSG 08,Glove Case,Dragonfire,Covert
M4A4,Glove Case,Buzz Kill,Covert
Gloves,Glove Case,Gloves,Exceedingly Rare
