Name,Case,Skin,Rarity
MP7,Operation Breakout Weapon Case,Urban Hazard,Mil_Spec Grade
Negev,Operation Breakout Weapon Case,Desert-Strike,Mil_Spec Grade
P2000,Operation Breakout Weapon Case,Ivory,Mil_Spec Grade
SSG 08,Operation Breakout Weapon Case,Abyss,Mil_Spec Grade
UMP-45,Operation Breakout Weapon Case,Labyrinth,Mil_Spec Grade
PP-Bizon,Operation Breakout Weapon Case,Osiris,Restricted
CZ75-Auto,Operation Breakout Weapon Case,Tigris,Restricted
Nova,Operation Breakout Weapon Case,Koi,Restricted
P250,Operation Breakout Weapon Case,Supernova,Restricted
Desert Eagle,Operation Breakout Weapon Case,Conspiracy,Classified
Five-SeveN,Operation Breakout Weapon Case,Fowl Play,Classified
Glock-18,Operation Breakout Weapon Case,Water Elemental,Classified
P90,Operation Breakout Weapon Case,Asiimov,Covert
M4A1-S,Operation Breakout Weapon Case,Cyrex,Covert
Knife,Operation Breakout Weapon Case,Knife,Exceedingly Rare
