Name,Case,Skin,Rarity
USP-S,Operation Hydra Case,Blueprint,Mil_Spec Grade
FAMAS,Operation Hydra Case,Macabre,Mil_Spec Grade
M4A1-S,Operation Hydra Case,Briefing,Mil_Spec Grade
MAC-10,Operation Hydra Case,Aloha,Mil_Spec Grade
MAG-7,Operation Hydra Case,Hard Water,Mil_Spec Grade
Tec-9,Operation Hydra Case,Cut Out,Mil_Spec Grade
UMP-45,Operation Hydra Case,Metal Flowers,Mil_Spec Grade
AK-47,Operation Hydra Case,Orbit Mk01,Restricted
P2000,Operation Hydra Case,Woodsman,Restricted
P250,Operation Hydra Case,Red Rock,Restricted
P90,Operation Hydra Case,Death Grip,Restricted
SSG 08,Operation Hydra Case,Death's Head,Restricted
Dual Berettas,Operation Hydra Case,Cobra Strike,Classified
Galil AR,Operation Hydra Case,Sugar Rush,Classified
M4A4,Operation Hydra Case,Hellfire,Classified
Five-SeveN,Operation Hydra Case,Hyper Beast,Covert
AWP,Operation Hydra Case,Oni Taiji,Covert
Gloves,Operation Hydra Case,Gloves,Exceedingly Rare
