Name,Case,Skin,Rarity
AUG,Operation Riptide Case,Plague,Mil_Spec Grade
Dual Berettas,Operation Riptide Case,Tread,Mil_Spec Grade
G3SG1,Operation Riptide Case,Keeping Tabs,Mil_Spec Grade
MP7,Operation Riptide Case,Guerrilla,Mil_Spec Grade
PP-Bizon,Operation Riptide Case,Lumen,Mil_Spec Grade
USP-S,Operation Riptide Case,Black Lotus,Mil_Spec Grade
XM1014,Operation Riptide Case,Watchdog,Mil_Spec Grade
MAG-7,Operation Riptide Case,BI83 Spectrum,Restricted
FAMAS,Operation Riptide Case,ZX Spectron,Restricted
Five-SeveN,Operation Riptide Case,Boost Protocol,Restricted
MP9,Operation Riptide Case,Mount Fuji,Restricted
M4A4,Operation Riptide Case,Spider Lily,Restricted
MAC-10,Operation Riptide Case,Toybox,Classified
Glock-18,Operation Riptide Case,Snack Attack,Classified
SSG 08,Operation Riptide Case,Turbo Peek,Classified
AK-47,Operation Riptide Case,Leet Museo,Covert
Desert Eagle,Operation Riptide Case,Ocean Drive,Covert
Knife,Operation Riptide Case,Knife,Exceedingly Rare
