Name,Case,Skin,Rarity
G3SG1,Operation Vanguard Weapon Case,Murky,Mil_Spec Grade
MAG-7,Operation Vanguard Weapon Case,Firestarter,Mil_Spec Grade
MP9,Operation Vanguard Weapon Case,Dart,Mil_Spec Grade
Five-SeveN,Operation Vanguard Weapon Case,Urban Hazard,Mil_Spec Grade
UMP-45,Operation Vanguard Weapon Case,Delusion,Mil_Spec Grade
Glock-18,Operation Vanguard Weapon Case,Grinder,Restricted
M4A1-S,Operation Vanguard Weapon Case,Basilisk,Restricted
M4A4,Operation Vanguard Weapon Case,Griffin,Restricted
Sawed-Off,Operation Vanguard Weapon Case,Highwayman,Restricted
P250,Operation Vanguard Weapon Case,Cartel,Classified
SCAR-20,Operation Vanguard Weapon Case,Cardiac,Classified
XM1014,Operation Vanguard Weapon Case,Tranquility,Classified
AK-47,Operation Vanguard Weapon Case,Wasteland Rebel,Covert
P2000,Operation Vanguard Weapon Case,Fire Elemental,Covert
Knife,Operation Vanguard Weapon Case,Knife,Exceedingly Rare
