Name,Case,Skin,Rarity
PP-Bizon,Operation Wildfire Case,Photic Zone,Mil_Spec Grade
Dual Berettas,Operation Wildfire Case,Cartel,Mil_Spec Grade
MAC-10,Operation Wildfire Case,Lapis Gator,Mil_Spec Grade
SSG 08,Operation Wildfire Case,Necropos,Mil_Spec Grade
Tec-9,Operation Wildfire Case,Jambiya,Mil_Spec Grade
USP-S,Operation Wildfire Case,Lead Conduit,Mil_Spec Grade
FAMAS,Operation Wildfire Case,Valence,Restricted
Five-SeveN,Operation Wildfire Case,Triumvirate,Restricted
Glock-18,Operation Wildfire Case,Royal Legion,Restricted
MAG-7,Operation Wildfire Case,Praetorian,Restricted
MP7,Operation Wildfire Case,Impire,Restricted
AWP,Operation Wildfire Case,Elite Build,Classified
Desert Eagle,Operation Wildfire Case,Kumicho Dragon,Classified
Nova,Operation Wildfire Case,Hyper Beast,Classified
AK-47,Operation Wildfire Case,Fuel Injector,Covert
M4A4,Operation Wildfire Case,The Battlestar,Covert
Knife,Operation Wildfire Case,Knife,Exceedingly Rare
