Name,Case,Skin,Rarity
Sawed-Off,Spectrum 2 Case,Morris,Mil_Spec Grade
AUG,Spectrum 2 Case,Triqua,Mil_Spec Grade
G3SG1,Spectrum 2 Case,Hunter,Mil_Spec Grade
Glock-18,Spectrum 2 Case,Off World,Mil_Spec Grade
MAC-10,Spectrum 2 Case,Oceanic,Mil_Spec Grade
Tec-9,Spectrum 2 Case,Cracked Opal,Mil_Spec Grade
SCAR-20,Spectrum 2 Case,Jungle Slipstream,Mil_Spec Grade
MP9,Spectrum 2 Case,Goo,Restricted
SG 553,Spectrum 2 Case,Phantom,Restricted
CZ75-Auto,Spectrum 2 Case,Tacticat,Restricted
UMP-45,Spectrum 2 Case,Exposure,Restricted
XM1014,Spectrum 2 Case,Ziggy,Restricted
PP-Bizon,Spectrum 2 Case,High Roller,Classified
M4A1-S,Spectrum 2 Case,Leaded Glass,Classified
R8 Revolver,Spectrum 2 Case,Llama Cannon,Classified
AK-47,Spectrum 2 Case,The Empress,Covert
P250,Spectrum 2 Case,See Ya Later,Covert
Knife,Spectrum 2 Case,Knife,Exceedingly Rare
