Name,Case,Skin,Rarity
PP-Bizon,Spectrum Case,Jungle Slipstream,Mil_Spec Grade
SCAR-20,Spectrum Case,Blueprint,Mil_Spec Grade
Desert Eagle,Spectrum Case,Oxide Blaze,Mil_Spec Grade
Five-SeveN,Spectrum Case,Capillary,Mil_Spec Grade
MP7,Spectrum Case,Akoben,Mil_Spec Grade
P250,Spectrum Case,Ripple,Mil_Spec Grade
Sawed-Off,Spectrum Case,Zander,Mil_Spec Grade
Galil AR,Spectrum Case,Crimson Tsunami,Restricted
M249,Spectrum Case,Emerald Poison Dart,Restricted
MAC-10,Spectrum Case,Last Dive,Restricted
UMP-45,Spectrum Case,Scaffold,Restricted
XM1014,Spectrum Case,Seasons,Restricted
AWP,Spectrum Case,Fever Dream,Classified
CZ75-Auto,Spectrum Case,Xiangliu,Classified
M4A1-S,Spectrum Case,Decimator,Classified
AK-47,Spectrum Case,Bloodsport,Covert
USP-S,Spectrum Case,Neo-Noir,Covert
Knife,Spectrum Case,Knife,Exceedingly Rare
