Name,Case,Skin,Rarity
Galil AR,Winter Offensive Weapon Case,Sandstorm,Mil_Spec Grade
Five-SeveN,Winter Offensive Weapon Case,Kami,Mil_Spec Grade
M249,Winter Offensive Weapon Case,Magma,Mil_Spec Grade
PP-Bizon,Winter Offensive Weapon Case,Cobalt Halftone,Mil_Spec Grade
FAMAS,Winter Offensive Weapon Case,Pulse,Restricted
Dual Berettas,Winter Offensive Weapon Case,Marina,Restricted
MP9,Winter Offensive Weapon Case,Rose Iron,Restricted
Nova,Winter Offensive Weapon Case,Rising Skull,Restricted
M4A1-S,Winter Offensive Weapon Case,Guardian,Classified
P250,Winter Offensive Weapon Case,Mehndi,Classified
AWP,Winter Offensive Weapon Case,Redline,Classified
M4A4,Winter Offensive Weapon Case,Asiimov,Covert
Sawed-Off,Winter Offensive Weapon Case,The Kraken,Covert
Knife,Winter Offensive Weapon Case,Knife,Exceedingly Rare
