itemID,itemType,itemMarketName,medianPrice
176097796,Agent,★ Survival Knife | Safari Mesh (Minimal Wear),109.0
176096782,Agent,★ Paracord Knife | Slaughter (Field-Tested),297.67
176096446,Agent,SCAR-20 | Torn (Minimal Wear),0.65
176096409,Agent,SCAR-20 | Stone Mosaico (Field-Tested),0.84
176096640,Agent,M4A4 | Dark Blossom (Field-Tested),12.7
176096427,Agent,MP5-SD | Acid Wash (Minimal Wear),0.58
176096472,Agent,USP-S | Pathfinder (Field-Tested),15.41
176096426,Agent,Galil AR | Tornado (Field-Tested),2.1
176097244,Agent,AUG | Flame Jörmungandr (Minimal Wear),220.0
176096435,Agent,Dual Berettas | Balance (Minimal Wear),0.59
176096434,Agent,Dual Berettas | Balance (Field-Tested),0.44
176096430,Agent,Nova | Plume (Minimal Wear),0.59
176096553,Agent,MAC-10 | Copper Borre (Field-Tested),62.62
176097226,Agent,StatTrak™ G3SG1 | Black Sand (Battle-Scarred),0.55
176097548,Agent,MP7 | Teal Blossom (Factory New),65.53
176097549,Agent,Negev | Mjölnir (Minimal Wear),
176096509,Agent,P2000 | Obsidian (Battle-Scarred),1.25
176096618,Agent,AWP | Containment Breach (Field-Tested),100.37
176096563,Agent,Tec-9 | Decimator (Minimal Wear),22.5
176096577,Agent,Galil AR | Tornado (Battle-Scarred),2.04
176096611,Agent,StatTrak™ PP-Bizon | Embargo (Field-Tested),2.32
176096612,Agent,StatTrak™ AK-47 | Rat Rod (Well-Worn),11.3
176096877,Agent,XM1014 | Frost Borre (Minimal Wear),64.84
176097615,Agent,★ Skeleton Knife | Scorched (Well-Worn),275.87
176097511,Agent,MAC-10 | Red Filigree (Field-Tested),61.53
176097514,Agent,MAC-10 | Copper Borre (Well-Worn),58.88
176097516,Agent,StatTrak™ MAC-10 | Stalker (Factory New),266.44
176097466,Agent,★ Skeleton Knife | Urban Masked (Field-Tested),421.03
176097478,Agent,★ Nomad Knife | Stained (Minimal Wear),362.15
176096975,Agent,SCAR-20 | Stone Mosaico (Factory New),3.21
176096674,Agent,Desert Eagle | Emerald Jörmungandr (Minimal Wear),204.09
176096678,Agent,StatTrak™ Tec-9 | Decimator (Factory New),100.05
176096650,Agent,P2000 | Obsidian (Factory New),6.13
176096639,Agent,SSG 08 | Red Stone (Well-Worn),2.13
176096777,Agent,Dual Berettas | Balance (Factory New),2.36
176096757,Agent,StatTrak™ P2000 | Obsidian (Minimal Wear),6.33
176096711,Agent,AWP | Containment Breach (Well-Worn),69.03
176096890,Agent,Dual Berettas | Pyre (Well-Worn),13.14
176096547,Agent,StatTrak™ P2000 | Obsidian (Field-Tested),2.3
176096546,Agent,StatTrak™ AK-47 | Rat Rod (Field-Tested),11.2
176096593,Agent,Sawed-Off | Jungle Thicket (Field-Tested),1.71
176096807,Agent,MP7 | Scorched (Minimal Wear),2.38
176096811,Agent,M4A4 | Dark Blossom (Minimal Wear),13.01
176096423,Agent,StatTrak™ SCAR-20 | Torn (Factory New),2.38
176096425,Agent,StatTrak™ R8 Revolver | Memento (Field-Tested),0.64
176096448,Agent,Negev | Boroque Sand (Minimal Wear),1.24
176096458,Agent,M249 | Warbird (Minimal Wear),0.84
176096544,Agent,Nova | Baroque Orange (Factory New),78.08
176096510,Agent,P90 | Sunset Lily (Minimal Wear),13.04
176096508,Agent,M4A1-S | Moss Quartz (Minimal Wear),15.98
176096514,Agent,MP7 | Scorched (Well-Worn),2.07
176096450,Agent,M249 | Jungle (Field-Tested),1.7
176096471,Agent,MP5-SD | Bamboo Garden (Minimal Wear),1.81
176096971,Agent,Sawed-Off | Jungle Thicket (Minimal Wear),1.87
176097520,Agent,MP9 | Stained Glass (Factory New),100.2
176096476,Agent,R8 Revolver | Memento (Factory New),1.42
176096651,Agent,SG 553 | Barricade (Well-Worn),2.08
176096919,Agent,M249 | Warbird (Well-Worn),0.68
176097089,Agent,PP-Bizon | Seabird (Well-Worn),1.65
176096549,Agent,P250 | Dark Filigree (Factory New),6.45
176096908,Agent,SG 553 | Colony IV (Battle-Scarred),4.99
176097205,Agent,MP5-SD | Bamboo Garden (Well-Worn),1.7
176096770,Agent,Tec-9 | Rust Leaf (Field-Tested),12.68
176096619,Agent,MP5-SD | Bamboo Garden (Battle-Scarred),1.64
176096769,Agent,R8 Revolver | Memento (Well-Worn),0.52
176096645,Agent,StatTrak™ Dual Berettas | Balance (Well-Worn),0.64
176096670,Agent,StatTrak™ MP5-SD | Acid Wash (Minimal Wear),1.56
176096828,Agent,StatTrak™ P2000 | Obsidian (Battle-Scarred),1.52
176097069,Agent,StatTrak™ Tec-9 | Decimator (Field-Tested),25.42
176096752,Agent,G3SG1 | Black Sand (Factory New),1.38
176096557,Agent,G3SG1 | Black Sand (Well-Worn),0.51
176096669,Agent,Desert Eagle | Emerald Jörmungandr (Field-Tested),181.22
176097350,Agent,SCAR-20 | Brass (Battle-Scarred),59.14
176097231,Agent,P90 | Baroque Red (Factory New),21.82
176097633,Agent,G3SG1 | Violet Murano (Well-Worn),17.09
176097646,Agent,AUG | Flame Jörmungandr (Well-Worn),151.0
176097461,Agent,MP9 | Stained Glass (Well-Worn),62.23
176097636,Agent,★ Survival Knife | Night Stripe (Field-Tested),187.02
176097558,Agent,★ Nomad Knife | Night Stripe (Field-Tested),239.2
176097330,Agent,StatTrak™ AWP | Containment Breach (Battle-Scarred),73.33
176097634,Agent,★ Paracord Knife | Fade (Factory New),810.01
176097750,Agent,★ Nomad Knife | Blue Steel (Field-Tested),353.35
176096956,Agent,★ Survival Knife | Urban Masked (Field-Tested),155.0
176097693,Agent,★ Skeleton Knife | Stained (Field-Tested),553.22
176097740,Agent,★ Paracord Knife | Stained (Minimal Wear),229.91
176098043,Agent,★ StatTrak™ Nomad Knife | Stained (Field-Tested),306.67
176097720,Agent,★ Survival Knife | Forest DDPAT (Well-Worn),110.35
176097544,Agent,★ Paracord Knife | Crimson Web (Minimal Wear),555.2
176097547,Agent,AK-47 | Wild Lotus (Well-Worn),1009.8
176097826,Agent,★ Nomad Knife | Boreal Forest (Battle-Scarred),150.63
176097164,Agent,★ Skeleton Knife | Slaughter (Minimal Wear),1026.79
176097781,Agent,★ StatTrak™ Nomad Knife | Case Hardened (Minimal Wear),401.66
176097868,Agent,★ Nomad Knife | Case Hardened (Minimal Wear),481.41
176097897,Agent,★ StatTrak™ Survival Knife | Case Hardened (Field-Tested),212.58
176097714,Agent,★ Nomad Knife | Blue Steel (Minimal Wear),350.67
176097814,Agent,★ StatTrak™ Survival Knife | Case Hardened (Minimal Wear),315.74
176097945,Agent,★ StatTrak™ Skeleton Knife | Slaughter (Minimal Wear),1018.9
176097664,Agent,★ Nomad Knife | Case Hardened (Field-Tested),388.69
176097629,Agent,★ Paracord Knife | Urban Masked (Battle-Scarred),109.13
176097518,Agent,G3SG1 | Violet Murano (Battle-Scarred),15.42
176097490,Agent,MAG-7 | Cinquedea (Battle-Scarred),369.08
176096701,Agent,StatTrak™ G3SG1 | Black Sand (Well-Worn),0.69
176096985,Agent,FAMAS | Sundown (Factory New),64.22
176097500,Agent,MAC-10 | Red Filigree (Factory New),76.8
176097415,Agent,Glock-18 | Synth Leaf (Battle-Scarred),117.94
176096667,Agent,MAC-10 | Stalker (Battle-Scarred),9.31
176098166,Agent,★ StatTrak™ Survival Knife | Urban Masked (Field-Tested),117.0
176098193,Agent,★ StatTrak™ Survival Knife | Blue Steel (Minimal Wear),180.65
176098056,Agent,★ Survival Knife | Case Hardened (Minimal Wear),268.09
176096537,Agent,XM1014 | Banana Leaf (Minimal Wear),13.13
176096703,Agent,StatTrak™ AK-47 | Rat Rod (Battle-Scarred),12.43
176096679,Agent,StatTrak™ P2000 | Obsidian (Well-Worn),1.84
176096541,Agent,StatTrak™ MP7 | Neon Ply (Minimal Wear),6.36
176097653,Agent,★ Nomad Knife | Blue Steel (Battle-Scarred),296.38
176097421,Agent,★ Nomad Knife | Urban Masked (Battle-Scarred),188.6
176097746,Agent,★ StatTrak™ Survival Knife | Stained (Well-Worn),151.71
176098356,Agent,★ Survival Knife | Boreal Forest (Well-Worn),109.02
176098010,Agent,★ Paracord Knife | Case Hardened (Factory New),382.59
176097833,Agent,MP9 | Stained Glass (Battle-Scarred),51.47
176097748,Agent,★ Survival Knife | Night Stripe (Minimal Wear),188.92
176097786,Agent,★ Nomad Knife | Scorched (Well-Worn),144.62
176097816,Agent,Glock-18 | Synth Leaf (Well-Worn),21.24
176097837,Agent,★ Survival Knife | Safari Mesh (Well-Worn),120.2
176098163,Agent,★ StatTrak™ Nomad Knife | Crimson Web (Field-Tested),456.06
176097829,Agent,★ StatTrak™ Nomad Knife | Scorched (Minimal Wear),185.13
176097850,Agent,★ StatTrak™ Skeleton Knife | Forest DDPAT (Field-Tested),337.52
176098324,Agent,★ Paracord Knife | Boreal Forest (Well-Worn),113.51
176098120,Agent,★ Nomad Knife | Crimson Web (Battle-Scarred),314.1
176097195,Agent,SSG 08 | Sea Calico (Well-Worn),
176097920,Agent,★ StatTrak™ Survival Knife | Crimson Web (Field-Tested),288.0
176098450,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Battle-Scarred),248.77
176098083,Agent,★ StatTrak™ Paracord Knife | Case Hardened (Factory New),566.32
