itemID,itemType,itemMarketName,medianPrice
176099137,Capsule,Halo Capsule,1.03
176116875,Capsule,Half-Life: Alyx Collectible Pins Capsule,10.54
176233059,Capsule,Poorly Drawn Capsule,1.09
176275802,Capsule,Stockholm 2021 Champions Autograph Capsule,0.82
176275804,Capsule,Stockholm 2021 Finalists Autograph Capsule,0.81
176316169,Capsule,Antwerp 2022 Champions Autograph Capsule,0.51
176345709,Capsule,Rio 2022 Champions Autograph Capsule,0.5
84444486,Capsule,Pinups Capsule,1.1
61699196,Capsule,Autograph Capsule | mousesports | Cologne 2015,5.81
61699148,Capsule,Autograph Capsule | Fnatic | Cologne 2015,4.21
144424227,Capsule,Autograph Capsule | Splyce | MLG Columbus 2016,4.05
170165267,Capsule,Bestiary Capsule,1.02
157485825,Capsule,Autograph Capsule | FaZe Clan | Cologne 2016,6.34
157485801,Capsule,Autograph Capsule | Natus Vincere | Cologne 2016,7.2
157485901,Capsule,Autograph Capsule | Team Liquid | Cologne 2016,8.16
170165263,Capsule,Sugarface Capsule,1.03
170165264,Capsule,Collectible Pins Capsule Series 2,10.77
144424218,Capsule,Autograph Capsule | Legends (Foil) | MLG Columbus 2016,20.43
144424190,Capsule,Autograph Capsule | Natus Vincere | MLG Columbus 2016,4.27
61699215,Capsule,Autograph Capsule | Group A (Foil) | Cologne 2015,12.6
61699225,Capsule,Autograph Capsule | Team Kinguin | Cologne 2015,4.75
144432885,Capsule,Autograph Capsule | Gambit Gaming | MLG Columbus 2016,3.32
144424408,Capsule,Autograph Capsule | Team Liquid | MLG Columbus 2016,5.87
6683760,Capsule,CS:GO Capsule Key,4.3
157485787,Capsule,Autograph Capsule | Legends (Foil) | Cologne 2016,43.0
75982443,Capsule,Autograph Capsule | Team SoloMid | Cluj-Napoca 2015,3.42
157485965,Capsule,Autograph Capsule | Astralis | Cologne 2016,13.65
157485890,Capsule,Autograph Capsule | G2 Esports | Cologne 2016,13.46
61699349,Capsule,Autograph Capsule | Flipsid3 Tactics | Cologne 2015,5.37
61699147,Capsule,Autograph Capsule | Ninjas in Pyjamas | Cologne 2015,3.82
144424266,Capsule,Autograph Capsule | Challengers (Foil) | MLG Columbus 2016,32.59
144424318,Capsule,Autograph Capsule | Luminosity Gaming | MLG Columbus 2016,5.36
144424356,Capsule,Autograph Capsule | Ninjas in Pyjamas | MLG Columbus 2016,3.3
75982329,Capsule,Autograph Capsule | Team EnVyUs | Cluj-Napoca 2015,4.55
75982332,Capsule,Autograph Capsule | Fnatic | Cluj-Napoca 2015,4.18
75982384,Capsule,Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,42.62
75982514,Capsule,Autograph Capsule | Titan | Cluj-Napoca 2015,11.5
75982479,Capsule,Autograph Capsule | G2 Esports | Cluj-Napoca 2015,4.16
75982435,Capsule,Autograph Capsule | Cloud9 | Cluj-Napoca 2015,8.38
84510736,Capsule,Team Roles Capsule,0.98
144424393,Capsule,Autograph Capsule | Virtus.Pro | MLG Columbus 2016,4.97
61699154,Capsule,Autograph Capsule | Team EnVyUs | Cologne 2015,4.89
144424189,Capsule,Autograph Capsule | Fnatic | MLG Columbus 2016,4.17
157491362,Capsule,Autograph Capsule | Flipsid3 Tactics | Cologne 2016,7.33
75982345,Capsule,Autograph Capsule | Legends (Foil) | Cluj-Napoca 2015,21.1
75982480,Capsule,Autograph Capsule | Natus Vincere | Cluj-Napoca 2015,5.1
75982335,Capsule,Autograph Capsule | Virtus.Pro | Cluj-Napoca 2015,3.63
61699357,Capsule,Autograph Capsule | Group C (Foil) | Cologne 2015,19.79
61699149,Capsule,Autograph Capsule | Group B (Foil) | Cologne 2015,14.9
75982369,Capsule,Autograph Capsule | Ninjas in Pyjamas | Cluj-Napoca 2015,3.91
144424386,Capsule,Autograph Capsule | G2 Esports | MLG Columbus 2016,10.4
144424268,Capsule,Autograph Capsule | mousesports | MLG Columbus 2016,6.59
144424198,Capsule,Autograph Capsule | FaZe Clan | MLG Columbus 2016,4.4
75982507,Capsule,Autograph Capsule | Luminosity Gaming | Cluj-Napoca 2015,6.82
61699226,Capsule,Autograph Capsule | Team SoloMid | Cologne 2015,3.7
144424226,Capsule,Autograph Capsule | Cloud9 | MLG Columbus 2016,15.52
157485857,Capsule,Autograph Capsule | Team EnVyUs | Cologne 2016,12.96
157485785,Capsule,Autograph Capsule | Challengers (Foil) | Cologne 2016,60.38
84504851,Capsule,Slid3 Capsule,1.03
61699327,Capsule,Autograph Capsule | Counter Logic Gaming | Cologne 2015,4.64
157485812,Capsule,Autograph Capsule | SK Gaming | Cologne 2016,5.39
144428736,Capsule,Autograph Capsule | Counter Logic Gaming | MLG Columbus 2016,3.7
144424313,Capsule,Autograph Capsule | Astralis | MLG Columbus 2016,5.33
61699172,Capsule,Autograph Capsule | Cloud9 G2A | Cologne 2015,8.32
61699273,Capsule,Autograph Capsule | Natus Vincere | Cologne 2015,5.72
61699311,Capsule,Autograph Capsule | Group D (Foil) | Cologne 2015,16.49
76008552,Capsule,Autograph Capsule | Flipsid3 Tactics | Cluj-Napoca 2015,5.79
75982535,Capsule,Autograph Capsule | Team Dignitas | Cluj-Napoca 2015,10.2
157485888,Capsule,Autograph Capsule | Ninjas in Pyjamas | Cologne 2016,5.64
61699343,Capsule,Autograph Capsule | Team eBettle | Cologne 2015,3.77
154300175,Capsule,Collectible Pins Capsule Series 1,10.68
75982465,Capsule,Autograph Capsule | Team Liquid | Cluj-Napoca 2015,8.06
157485985,Capsule,Autograph Capsule | Gambit Gaming | Cologne 2016,7.48
144424194,Capsule,Autograph Capsule | Team EnVyUs | MLG Columbus 2016,6.32
157485805,Capsule,Autograph Capsule | Fnatic | Cologne 2016,6.64
61699210,Capsule,Autograph Capsule | Virtus.Pro | Cologne 2015,4.97
157485970,Capsule,Autograph Capsule | mousesports | Cologne 2016,8.31
157485988,Capsule,Autograph Capsule | Team Dignitas | Cologne 2016,15.83
