itemID,itemType,itemMarketName,medianPrice
176118270,Case,Prisma 2 Case,0.72
176185874,Case,Fracture Case,0.64
176209154,Case,Operation Broken Fang Case,4.07
176240926,Case,Snakebite Case,0.44
176264317,Case,Operation Riptide Case,4.9
176288467,Case,Dreams & Nightmares Case,1.44
176321160,Case,Recoil Case,0.87
176358765,Case,Revolution Case,2.2
1913364,Case,CS:GO Weapon Case 2,11.39
8987853,Case,Huntsman Weapon Case,10.05
139654771,Case,Operation Wildfire Case,1.81
14962905,Case,Operation Breakout Weapon Case,6.86
67060949,Case,Shadow Case,1.02
7177182,Case,Operation Phoenix Weapon Case,3.25
6820494,Case,CS:GO Weapon Case 3,8.43
84444464,Case,Revolver Case,1.75
3438414,Case,Winter Offensive Weapon Case,7.29
49359031,Case,Falchion Case,1.06
23853214,Case,Operation Vanguard Weapon Case,2.58
15490345,Case,eSports 2013 Winter Case,8.86
15490346,Case,eSports 2014 Summer Case,6.85
175854202,Case,Glove Case,4.37
1546282,Case,Operation Bravo Case,63.12
165027636,Case,Gamma 2 Case,2.2
1269049,Case,eSports 2013 Case,50.47
40091990,Case,Chroma 2 Case,2.41
1275323,Case,CS:GO Weapon Case,90.26
156110183,Case,Gamma Case,2.19
29205213,Case,Chroma Case,2.99
149865785,Case,Chroma 3 Case,2.19
175880240,Case,Spectrum Case,2.31
175896275,Case,Operation Hydra Case,19.83
175917239,Case,Spectrum 2 Case,1.75
175966708,Case,Clutch Case,0.82
175999886,Case,Horizon Case,0.85
176024744,Case,Danger Zone Case,0.74
176042493,Case,Prisma Case,0.69
176091756,Case,CS20 Case,0.75
176096390,Case,Shattered Web Case,3.6
