itemID,itemType,itemMarketName,medianPrice
176096606,Graffiti,Sealed Graffiti | Dizzy (Tracer Yellow),0.24
176096941,Graffiti,Sealed Graffiti | OMG (SWAT Blue),0.12
176096883,Graffiti,Sealed Graffiti | Broken Heart (Princess Pink),0.55
176096953,Graffiti,Sealed Graffiti | 200 IQ (Wire Blue),0.08
176097060,Graffiti,Sealed Graffiti | Uh Oh (Battle Green),0.06
176097285,Graffiti,Sealed Graffiti | Oops (Blood Red),0.44
176097326,Graffiti,Sealed Graffiti | Smarmy (Brick Red),0.34
176097337,Graffiti,Sealed Graffiti | Happy Cat (Monster Purple),0.12
176097309,Graffiti,Sealed Graffiti | Denied (Frog Green),0.07
176097268,Graffiti,Sealed Graffiti | NT (War Pig Pink),0.15
176097238,Graffiti,Sealed Graffiti | 200 IQ (Bazooka Pink),0.11
176096551,Graffiti,Sealed Graffiti | Goofy (Bazooka Pink),0.16
176096558,Graffiti,Sealed Graffiti | Bock Bock (Violent Violet),0.1
176096590,Graffiti,Sealed Graffiti | Dead Now (Desert Amber),0.08
176096897,Graffiti,Sealed Graffiti | OMG (Violent Violet),0.12
176096878,Graffiti,Sealed Graffiti | 200 IQ (Blood Red),0.26
176096832,Graffiti,Sealed Graffiti | OMG (Bazooka Pink),0.16
176096722,Graffiti,Sealed Graffiti | Kiss (Jungle Green),0.17
176096798,Graffiti,Sealed Graffiti | Hop (Cash Green),0.21
176097386,Graffiti,Sealed Graffiti | OMG (Dust Brown),0.11
176097349,Graffiti,Sealed Graffiti | Little EZ (Violent Violet),0.08
176097369,Graffiti,Sealed Graffiti | Choke (Shark White),0.29
176097410,Graffiti,Sealed Graffiti | Little EZ (Monarch Blue),0.07
176097401,Graffiti,Sealed Graffiti | 1G (Battle Green),0.06
176097131,Graffiti,Sealed Graffiti | Hop (Battle Green),0.21
176097080,Graffiti,Sealed Graffiti | Okay (Desert Amber),0.06
176096959,Graffiti,Sealed Graffiti | Silver Bullet (Cash Green),0.07
176096943,Graffiti,Sealed Graffiti | Thoughtfull (Princess Pink),0.09
176096660,Graffiti,Sealed Graffiti | Hop (Shark White),0.56
176096684,Graffiti,Sealed Graffiti | Smirk (War Pig Pink),0.19
176096685,Graffiti,Sealed Graffiti | Smirk (Tiger Orange),0.15
176096693,Graffiti,Sealed Graffiti | Little EZ (Cash Green),0.06
176096421,Graffiti,Sealed Graffiti | Little EZ (Blood Red),0.18
176096765,Graffiti,Sealed Graffiti | BOOM (Shark White),0.11
176096718,Graffiti,Sealed Graffiti | Choke (Jungle Green),0.18
176096823,Graffiti,Sealed Graffiti | Dead Now (Shark White),0.44
176096829,Graffiti,Sealed Graffiti | Hop (War Pig Pink),0.46
176096810,Graffiti,Sealed Graffiti | Happy Cat (Shark White),0.12
176097223,Graffiti,Sealed Graffiti | Smooch (Tracer Yellow),0.08
176097440,Graffiti,Sealed Graffiti | Dizzy (Frog Green),0.1
176097311,Graffiti,Sealed Graffiti | Fart (Tracer Yellow),0.23
176096629,Graffiti,Sealed Graffiti | Oops (Tracer Yellow),0.09
176096552,Graffiti,Sealed Graffiti | Happy Cat (Tracer Yellow),0.11
176097354,Graffiti,Sealed Graffiti | Dead Now (Monster Purple),0.09
176097100,Graffiti,Sealed Graffiti | Smarmy (Wire Blue),0.32
176097079,Graffiti,Sealed Graffiti | Little Crown (Frog Green),0.11
176097434,Graffiti,Sealed Graffiti | Rly (Desert Amber),0.07
176096771,Graffiti,Sealed Graffiti | Little Bock (Blood Red),0.21
176097214,Graffiti,Sealed Graffiti | Little Crown (War Pig Pink),0.14
176097077,Graffiti,Sealed Graffiti | Smarmy (Cash Green),0.32
176097498,Graffiti,Sealed Graffiti | Okay (Bazooka Pink),0.08
176097406,Graffiti,Sealed Graffiti | Little EZ (Jungle Green),0.07
176096634,Graffiti,Sealed Graffiti | Kiss (Desert Amber),0.16
176097451,Graffiti,Sealed Graffiti | Dizzy (Jungle Green),0.11
176097313,Graffiti,Sealed Graffiti | 200 IQ (Jungle Green),0.09
176096862,Graffiti,Sealed Graffiti | Smirk (Battle Green),0.14
176096898,Graffiti,Sealed Graffiti | Happy Cat (Brick Red),0.11
176096865,Graffiti,Sealed Graffiti | Question Mark (Wire Blue),0.19
176096692,Graffiti,Sealed Graffiti | Goofy (Monster Purple),0.17
176096973,Graffiti,Sealed Graffiti | Shining Star (Jungle Green),0.13
176096942,Graffiti,Sealed Graffiti | Smarmy (Monster Purple),0.61
176097150,Graffiti,Sealed Graffiti | Puke (Frog Green),0.17
176096917,Graffiti,Sealed Graffiti | NT (Shark White),0.13
176096644,Graffiti,Sealed Graffiti | Rly (Princess Pink),0.08
176096686,Graffiti,Sealed Graffiti | Hop (Blood Red),0.3
176097437,Graffiti,Sealed Graffiti | Question Mark (Monarch Blue),0.14
176097403,Graffiti,Sealed Graffiti | 200 IQ (SWAT Blue),0.08
176097061,Graffiti,Sealed Graffiti | Applause (War Pig Pink),0.18
176096781,Graffiti,Sealed Graffiti | Oops (SWAT Blue),0.09
176097445,Graffiti,Sealed Graffiti | Question Mark (Cash Green),0.15
176097343,Graffiti,Sealed Graffiti | Goofy (Cash Green),0.15
176097295,Graffiti,Sealed Graffiti | Uh Oh (Dust Brown),0.07
176097067,Graffiti,Sealed Graffiti | Smarmy (Bazooka Pink),0.44
176096682,Graffiti,Sealed Graffiti | NT (Brick Red),0.17
176096591,Graffiti,Sealed Graffiti | Hop (Tiger Orange),0.22
176097417,Graffiti,Sealed Graffiti | Puke (Princess Pink),0.2
176096892,Graffiti,Sealed Graffiti | Broken Heart (Tiger Orange),0.24
176096698,Graffiti,Sealed Graffiti | Thoughtfull (Tracer Yellow),0.13
176096827,Graffiti,Sealed Graffiti | Fart (Frog Green),0.2
176096863,Graffiti,Sealed Graffiti | Little Bock (Monster Purple),0.23
176096880,Graffiti,Sealed Graffiti | Rly (Monarch Blue),0.07
176097277,Graffiti,Sealed Graffiti | Smarmy (Monarch Blue),0.39
176097047,Graffiti,Sealed Graffiti | Happy Cat (SWAT Blue),0.11
176097338,Graffiti,Sealed Graffiti | Rly (Battle Green),0.07
176097468,Graffiti,Sealed Graffiti | Denied (Wire Blue),0.06
176096631,Graffiti,Sealed Graffiti | Applause (Blood Red),0.22
176097235,Graffiti,Sealed Graffiti | Dizzy (Shark White),0.12
176096735,Graffiti,Sealed Graffiti | Dizzy (Monster Purple),0.12
176096937,Graffiti,Sealed Graffiti | Fart (Desert Amber),0.19
176097103,Graffiti,Sealed Graffiti | Silver Bullet (Brick Red),0.09
176097353,Graffiti,Sealed Graffiti | Fart (Tiger Orange),0.19
176097012,Graffiti,Sealed Graffiti | Choke (Dust Brown),0.15
176097155,Graffiti,Sealed Graffiti | Smarmy (Blood Red),0.5
176097292,Graffiti,Sealed Graffiti | Okay (War Pig Pink),0.07
