itemID,itemType,itemMarketName,medianPrice
139654772,Key,Operation Wildfire Case Key,12.51
7177198,Key,Operation Phoenix Case Key,14.23
23853213,Key,Operation Vanguard Case Key,12.42
175854203,Key,Glove Case Key,15.43
165027637,Key,Gamma 2 Case Key,17.48
156113419,Key,Gamma Case Key,19.06
40091993,Key,Chroma 2 Case Key,15.0
49359028,Key,Falchion Case Key,13.79
149853530,Key,Chroma 3 Case Key,17.98
67060950,Key,Shadow Case Key,14.31
29205214,Key,Chroma Case Key,14.59
3440102,Key,Winter Offensive Case Key,11.0
14946477,Key,Operation Breakout Case Key,29.2
84444469,Key,Revolver Case Key,16.99
8987880,Key,Huntsman Case Key,20.51
1274951,Key,CS:GO Case Key,7.07
175880253,Key,Spectrum Case Key,14.33
175896265,Key,Operation Hydra Case Key,2.96
175917238,Key,Spectrum 2 Case Key,16.31
175966709,Key,Clutch Case Key,24.63
175999885,Key,Horizon Case Key,16.79
176024743,Key,Danger Zone Case Key,21.92
176042494,Key,Prisma Case Key,16.13
176091766,Key,CS20 Case Key,14.96
