itemID,itemType,itemMarketName,medianPrice
176101959,Music Kit,"Music Kit | Scarlxrd: King, Scar",3.26
176101960,Music Kit,"StatTrak™ Music Kit | Scarlxrd: King, Scar",5.34
176120750,Music Kit,"Music Kit | Tim Huling, Neo Noir",0.76
176120753,Music Kit,"Music Kit | Daniel Sadowski, Eye of the Dragon",2.01
176120748,Music Kit,"Music Kit | Sam Marshall, Bodacious",1.51
176120744,Music Kit,StatTrak™ Masterminds Music Kit Box,8.45
176120752,Music Kit,"StatTrak™ Music Kit | Tim Huling, Neo Noir",1.44
176120745,Music Kit,"StatTrak™ Music Kit | Dren, Gunman Taco Truck",27.76
176120756,Music Kit,Masterminds Music Kit Box,5.67
176120757,Music Kit,"StatTrak™ Music Kit | Matt Levine, Drifter",2.69
176120749,Music Kit,"StatTrak™ Music Kit | Sam Marshall, Bodacious",2.48
176120751,Music Kit,"StatTrak™ Music Kit | Austin Wintory, Bachram",4.31
176120759,Music Kit,"StatTrak™ Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE",1.37
176120747,Music Kit,"Music Kit | Austin Wintory, Bachram",2.36
176120760,Music Kit,"Music Kit | Dren, Gunman Taco Truck",18.68
176120754,Music Kit,"StatTrak™ Music Kit | Daniel Sadowski, Eye of the Dragon",3.75
176120755,Music Kit,"Music Kit | Matt Levine, Drifter",1.62
176120746,Music Kit,"Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE",0.74
176141026,Music Kit,"Music Kit | Amon Tobin, All for Dust",2.97
176141025,Music Kit,"StatTrak™ Music Kit | Amon Tobin, All for Dust",4.66
176233075,Music Kit,"Music Kit | Scarlxrd, CHAIN$AW.LXADXUT.",2.87
176233069,Music Kit,"Music Kit | Neck Deep, The Lowlife Pack",4.53
176233077,Music Kit,"StatTrak™ Music Kit | Scarlxrd, CHAIN$AW.LXADXUT.",4.44
176233060,Music Kit,"StatTrak™ Music Kit | Neck Deep, The Lowlife Pack",7.73
176256911,Music Kit,"Music Kit | Sarah Schachner, KOLIBRI",4.95
176256906,Music Kit,"StatTrak™ Music Kit | Sarah Schachner, KOLIBRI",8.17
176256912,Music Kit,"Music Kit | Freaky DNA, Vici",10.5
176256907,Music Kit,"Music Kit | Laura Shigihara: Work Hard, Play Hard",4.33
176256905,Music Kit,"Music Kit | Austin Wintory, Mocha Petal",2.05
176256904,Music Kit,"StatTrak™ Music Kit | Freaky DNA, Vici",16.24
176256903,Music Kit,"Music Kit | Chipzel, ~Yellow Magic~",1.54
176256910,Music Kit,"StatTrak™ Music Kit | Laura Shigihara: Work Hard, Play Hard",8.2
176256902,Music Kit,"StatTrak™ Music Kit | Austin Wintory, Mocha Petal",4.05
176256913,Music Kit,"Music Kit | Jesse Harlin, Astro Bellum",1.33
176256908,Music Kit,"StatTrak™ Music Kit | Chipzel, ~Yellow Magic~",2.86
176256909,Music Kit,"StatTrak™ Music Kit | Jesse Harlin, Astro Bellum",2.96
176257855,Music Kit,StatTrak™ Tacticians Music Kit Box,8.74
176257856,Music Kit,Tacticians Music Kit Box,5.51
176268072,Music Kit,"StatTrak™ Music Kit | bbno$, u mad!",8.21
176268071,Music Kit,"Music Kit | bbno$, u mad!",5.0
176275801,Music Kit,"Music Kit | The Verkkars & n0thing, Flashbang Dance",4.89
176275803,Music Kit,"StatTrak™ Music Kit | The Verkkars & n0thing, Flashbang Dance",8.12
176328049,Music Kit,"Music Kit | Knock2, dashstar*",17.9
176328044,Music Kit,"StatTrak™ Music Kit | Knock2, dashstar*",30.26
176328051,Music Kit,"Music Kit | 3kliksphilip, Heading for the Source",0.82
176328052,Music Kit,"StatTrak™ Music Kit | 3kliksphilip, Heading for the Source",1.96
176328041,Music Kit,"Music Kit | Meechy Darko, Gothic Luxury",1.21
176328045,Music Kit,"Music Kit | Juelz, Shooters",0.86
