itemID,itemType,itemMarketName,medianPrice
176209162,Pass,Operation Broken Fang Premium Pass,15.11
176264318,Pass,Operation Riptide Premium Pass,25.86
176272158,Pass,Stockholm 2021 Viewer Pass,27.11
176272157,Pass,Stockholm 2021 Viewer Pass + 3 Souvenir Tokens,52.61
176313495,Pass,Antwerp 2022 Viewer Pass,15.01
176313499,Pass,Antwerp 2022 Viewer Pass + 3 Souvenir Tokens,42.35
176341679,Pass,Rio 2022 Viewer Pass,20.07
176341680,Pass,Rio 2022 Viewer Pass + 3 Souvenir Tokens,30.46
176373443,Pass,Paris 2023 Viewer Pass + 3 Souvenir Tokens,18.08
176373444,Pass,Paris 2023 Viewer Pass,10.0
49359024,Pass,Operation Bloodhound Access Pass,42.14
231888,Pass,Operation Payback Pass,267.26
14946478,Pass,Operation Breakout All Access Pass,55.26
7177174,Pass,Operation Phoenix Pass,105.26
139654769,Pass,Operation Wildfire Access Pass,133.44
1544156,Pass,Operation Bravo Pass,213.43
23853212,Pass,Operation Vanguard Access Pass,525.26
175896262,Pass,Operation Hydra Access Pass,19.62
176036534,Pass,Katowice 2019 Viewer Pass,48.97
176079662,Pass,Berlin 2019 Viewer Pass + 3 Souvenir Tokens,30.04
176079645,Pass,Berlin 2019 Viewer Pass,14.35
176096391,Pass,Operation Shattered Web Premium Pass,35.21
