itemID,itemType,itemMarketName,medianPrice
176116872,Pin,Combine Helmet Pin,5.15
176116900,Pin,Alyx Pin,35.72
176116885,Pin,Headcrab Glyph Pin,5.18
176116886,Pin,Sustenance! Pin,6.84
176116895,Pin,City 17 Pin,3.92
176116877,Pin,CMB Pin,4.44
176116876,Pin,Black Mesa Pin,5.42
176116887,Pin,Civil Protection Pin,20.33
176116896,Pin,Health Pin,32.47
176116889,Pin,Vortigaunt Pin,6.92
176116888,Pin,Copper Lambda Pin,6.16
176116891,Pin,Lambda Pin,5.9
154306988,Pin,Tactics Pin,4.33
154300182,Pin,Militia Pin,3.95
154300178,Pin,Inferno Pin,8.75
154300184,Pin,Dust II Pin,48.01
170165290,Pin,Bloodhound Pin,7.8
170165303,Pin,Bravo Pin,5.17
154300179,Pin,Italy Pin,4.45
154300177,Pin,Victory Pin,6.79
154300181,Pin,Mirage Pin,12.83
154300186,Pin,Guardian Elite Pin,46.4
154300183,Pin,Train Pin,3.94
170170467,Pin,Cache Pin,12.77
170167787,Pin,Baggage Pin,3.84
154300180,Pin,Guardian Pin,5.49
154300176,Pin,Nuke Pin,7.92
170165292,Pin,Phoenix Pin,5.74
170165277,Pin,Guardian 2 Pin,4.31
170165275,Pin,Overpass Pin,5.11
170165266,Pin,Cobblestone Pin,8.72
170167788,Pin,Office Pin,9.12
170167794,Pin,Valeria Phoenix Pin,68.82
170170466,Pin,Chroma Pin,16.63
175970599,Pin,Guardian 3 Pin,3.05
175970593,Pin,Canals Pin,3.19
175970598,Pin,Aces High Pin,9.57
175970596,Pin,Wildfire Pin,5.22
175970604,Pin,Inferno 2 Pin,4.19
175970602,Pin,Easy Peasy Pin,4.1
175970603,Pin,Hydra Pin,5.74
175970601,Pin,Howl Pin,75.56
175970595,Pin,Death Sentence Pin,3.76
175970592,Pin,Welcome to the Clutch Pin,4.85
175970597,Pin,Brigadier General Pin,15.09
